timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
146096000,0.0001241923,0.0010167063,0.0015291236,1
146296000,0.0001241923,0.0010167063,0.0015291236,1
146496000,0.0001241923,0.0010167063,0.0015291236,1
146696000,0.0001241923,0.0010167063,0.0015291236,1
146896000,0.0001241923,0.0010167063,0.0015291236,1
147096000,0.0001241923,0.0010167063,0.0015291236,1
147296000,0.0001241923,0.0010167063,0.0015291236,1
632268000,0.0001241923,0.0010167063,0.0015291236,1
632468000,0.0001241923,0.0010167063,0.0015291236,1
632668000,0.0001241923,0.0010167063,0.0015291236,1
632868000,0.0001241923,0.0010167063,0.0015291236,1
633068000,0.0001241923,0.0010167063,0.0015291236,1
633268000,0.0001241923,0.0010167063,0.0015291236,1
