timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_angle
146196000,0.0,0.0,0.0
632348000,0.0,0.0,0.0
632544000,0.0,0.0,0.0
632744000,0.0,0.0,0.0
632944000,0.0,0.0,0.0
633148000,0.0,0.0,0.0
