timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
2051220000,-3.682857,-3.7709012,11.832703,1.0
2051228000,-1.2113112,-1.2402626,11.832703,1.0
2051231999,2.779318,2.8457158,11.832703,1.0
2051235999,-2.4138172,-2.4715464,11.832703,1.0
2051240000,-2.895096,-2.9642844,11.832703,1.0
2051248000,-0.90451217,-0.92613304,11.832703,1.0
2051251999,3.1763368,3.2522523,11.832703,1.0
2051256000,-3.1704884,-3.2462673,11.832703,1.0
2051260000,2.1665509,2.2183487,11.832703,1.0
2051264000,-4.206716,-4.3072653,11.832703,1.0
2051271999,1.8517478,1.896004,11.832703,1.0
2051276000,2.1397524,2.1908944,11.832703,1.0
2051280000,-0.57056457,-0.5841978,11.832703,1.0
2051284000,-2.0921607,-2.1421726,11.832703,1.0
2051288000,3.0659244,3.139188,11.832703,1.0
2051291999,2.7010098,2.7655652,11.832703,1.0
2051300000,2.4981363,2.557826,11.832703,1.0
2051304000,-3.468478,-3.5513458,11.832703,1.0
2051311999,-2.8507004,-2.9188278,11.832703,1.0
2051316000,-1.5638696,-1.6012493,11.832703,1.0
2051324000,3.5137987,3.5977778,11.832703,1.0
2051327999,-1.1769799,-1.2051162,11.832703,1.0
2051336000,-3.750009,-3.8395777,11.832703,1.0
2051340000,-2.208253,-2.2610166,11.832703,1.0
2051344000,-2.356982,-2.4133291,11.832703,1.0
2051352000,0.77088445,0.7893091,11.832703,1.0
2051360000,4.354116,4.4582095,11.832703,1.0
2051364000,3.5791862,3.664711,11.832703,1.0
2051372000,-2.9019024,-2.9712577,11.832703,1.0
2051380000,-2.5362716,-2.596899,11.832703,1.0
2051384000,2.3481855,2.4043179,11.832703,1.0
2051387999,1.7672472,1.8094856,11.832703,1.0
2051396000,3.3879266,3.4688864,11.832703,1.0
2051400000,1.4220462,1.4560374,11.832703,1.0
2051407999,2.396523,2.4537945,11.832703,1.0
2051416000,2.5979617,2.660054,11.832703,1.0
2051420000,3.081886,3.1555552,11.832703,1.0
2051424000,-3.5223458,-3.60653,11.832703,1.0
2051432000,-2.4129167,-2.4705837,11.832703,1.0
2051436000,2.0736468,2.1232133,11.832703,1.0
2051440000,-0.70537555,-0.72223663,11.832703,1.0
2051443999,2.8692138,2.937775,11.832703,1.0
2051448000,-2.834301,-2.9020307,11.832703,1.0
2051456000,1.3092866,1.3405821,11.832703,1.0
2051460000,3.5618436,3.6469655,11.832703,1.0
2051463999,-0.8383326,-0.85837877,11.832703,1.0
2051468000,2.2349517,2.2883523,11.832703,1.0
2051472000,-1.2095548,-1.2384626,11.832703,1.0
2051476000,1.8752034,1.9200196,11.832703,1.0
2051480000,2.7409263,2.8064268,11.832703,1.0
2051483999,-4.150699,-4.2498803,11.832703,1.0
2051492000,-1.8278083,-1.8714831,11.832703,1.0
2051496000,-3.5527105,-3.6376247,11.832703,1.0
2051503999,-0.8436004,-0.8637583,11.832703,1.0
2051508000,2.0083306,2.0563335,11.832703,1.0
2051512000,-2.830085,-2.8977222,11.832703,1.0
2051520000,2.1143901,2.1648967,11.832703,1.0
2051523999,-4.0928006,-4.1906204,11.832703,1.0
2051528000,-3.9313807,-4.025354,11.832703,1.0
2051532000,-2.4230187,-2.4809425,11.832703,1.0
2051536000,2.1102345,2.1606715,11.832703,1.0
2051539999,-3.3448408,-3.424776,11.832703,1.0
2051543999,2.0982144,2.1483636,11.832703,1.0
2051548000,1.2181852,1.247299,11.832703,1.0
2051552000,-3.3824592,-3.4632554,11.832703,1.0
2051559999,3.3562415,3.4364226,11.832703,1.0
2051564000,2.1618264,2.2135115,11.832703,1.0
2051568000,1.9241498,1.9701353,11.832703,1.0
2051572000,-3.5971556,-3.6831548,11.832703,1.0
2051576000,0.58626354,0.6002753,11.832703,1.0
2051579999,-3.2489972,-3.3266256,11.832703,1.0
2051584000,-2.73144,-2.7967196,11.832703,1.0
2051592000,1.2994809,1.3305268,11.832703,1.0
2051596000,3.5597403,3.6447618,11.832703,1.0
2051599999,-1.625085,-1.6639178,11.832703,1.0
2051604000,1.8553087,1.8996501,11.832703,1.0
2051608000,-3.1491907,-3.2244587,11.832703,1.0
2051616000,2.1103725,2.1608229,11.832703,1.0
2051624000,4.0179024,4.113901,11.832703,1.0
2051628000,-3.2384038,-3.315782,11.832703,1.0
2051635999,-2.4741385,-2.5332785,11.832703,1.0
