timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
2051220000,12.150001,12.149966,-1.0,-1.0,0.0,0.0,0.999979,1.0000029,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2051712000,12.136471,12.147485,-1.0,-1.0,0.0,0.0,0.9984751,1.0002072,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2052215999,12.12261,12.1410885,-1.0,-1.0,0.0,0.0,0.99459887,1.0007341,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2052720000,12.10875,12.132121,-1.0,-1.0,0.0,0.0,0.9891634,1.0014738,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2053212000,12.095221,12.121737,-1.0,-1.0,0.0,0.0,0.9828701,1.0023317,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2053715999,12.08136,12.109999,-1.0,-1.0,0.0,0.0,0.97575665,1.0033032,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2054220000,12.0675,12.097532,-1.0,-1.0,0.0,0.0,0.96820116,1.0043371,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2054712000,12.05397,12.084895,-1.0,-1.0,0.0,0.0,0.9605422,1.0053873,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2055215999,12.04011,12.071639,-1.0,-1.0,0.0,0.0,0.952508,1.0064914,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2055720000,12.02625,12.058176,-1.0,-1.0,0.0,0.0,0.9443488,1.0076151,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2056212000,12.01272,12.044903,-1.0,-1.0,0.0,0.0,0.9363041,1.0087255,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2056715999,11.99886,12.031216,-1.0,-1.0,0.0,0.0,0.92800903,1.0098732,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2057220000,11.985001,12.017468,-1.0,-1.0,0.0,0.0,0.91967726,1.0110283,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2057712000,11.971471,12.004011,-1.0,-1.0,0.0,0.0,0.91152143,1.0121617,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2058215999,11.95761,11.9902,-1.0,-1.0,0.0,0.0,0.9031515,1.0133276,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2058708000,11.94408,11.976701,-1.0,-1.0,0.0,0.0,0.89496946,1.0144699,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2059212000,11.930221,11.962861,-1.0,-1.0,0.0,0.0,0.8865819,1.0156435,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2059715999,11.916361,11.949015,-1.0,-1.0,0.0,0.0,0.87819004,1.0168204,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2060220000,11.9025,11.935164,-1.0,-1.0,0.0,0.0,0.8697963,1.0180002,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2060712000,11.88897,11.921639,-1.0,-1.0,0.0,0.0,0.86159945,1.0191551,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
2061215999,11.875111,11.9077835,-1.0,-1.0,0.0,0.0,0.85320187,1.020341,nan,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
