timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
2050387999,nan,nan,0.0,2.0,nan,nan,nan,530,1,1,1,1,0,0
2050387999,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2003,1,1,1,1,0,0
2051212000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,1,255,190,0,1
2084532000,0.0,0.0,25.0,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
2089516000,0.0,0.0,25.0,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
2121268000,0.0,0.0,25.0,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
2160956000,0.0,0.0,25.0,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
2215108000,0.0,0.0,25.0,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
2268028000,0.0,0.0,25.0,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
2321620000,0.0,0.0,25.0,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
2382660000,0.0,0.0,25.0,0.0,1.0,0.0,0.0,206,1,1,1,1,0,0
2396716000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206,1,1,1,1,0,0
2396772000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1,1,1,1,0,0
2396828000,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,1,1,0,0
2466884000,0.0,0.0,0.0,2.0,50.0,nan,0.021441033,0,1,1,1,1,0,0
