timestamp,noutputs,output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],output[8],output[9],output[10],output[11],output[12],output[13],output[14],output[15]
2055664000,6,1556.3762,1551.4014,1556.6688,1554.0928,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2055764000,6,1554.6112,1555.2998,1552.7397,1559.0033,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2055860000,6,1556.9335,1553.9204,1555.8574,1554.4501,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2055963999,6,1554.0219,1556.9379,1556.3002,1554.4924,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2056064000,6,1558.124,1556.4927,1554.7122,1557.8104,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2056164000,6,1562.8632,1557.1763,1562.6365,1558.6002,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2056268000,6,1560.6088,1562.3717,1562.8484,1560.2484,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2056372000,6,1559.7937,1563.4108,1560.6638,1561.0133,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2056468000,6,1559.5919,1561.3087,1559.8821,1562.4055,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2056572000,6,1560.443,1561.5669,1562.5293,1559.9983,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2056672000,6,1560.6387,1561.3654,1559.1329,1561.1808,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2056776000,6,1564.5623,1561.8813,1563.7491,1562.3947,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2056876000,6,1564.3842,1565.2559,1566.2437,1565.3181,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2056972000,6,1566.9666,1567.8016,1566.6736,1562.5118,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2057072000,6,1564.0085,1563.3123,1563.2748,1566.1455,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2057180000,6,1565.0975,1564.0054,1563.1755,1564.3271,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
2057276000,6,1563.9902,1561.9188,1563.8522,1563.9512,1500.0,1500.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
