timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
2051220000,487.7507,11.832703,95602.05,1.1359105
2051228000,487.6568,11.832703,95603.11,1.1359231
2051235999,487.9103,11.832703,95600.234,1.1358889
2051240000,487.62393,11.832703,95603.52,1.135928
2051248000,487.69904,11.832703,95602.625,1.1359173
2051251999,487.6521,11.832703,95603.195,1.1359241
2051256000,487.66617,11.832703,95603.0,1.1359218
2051260000,487.77417,11.832703,95601.77,1.1359072
2051264000,487.68027,11.832703,95602.86,1.1359202
2051271999,487.638,11.832703,95603.32,1.1359257
2051276000,487.6568,11.832703,95603.11,1.1359231
2051280000,487.5535,11.832703,95604.31,1.1359373
2051284000,487.71783,11.832703,95602.43,1.135915
2051288000,487.58167,11.832703,95603.98,1.1359334
2051291999,487.6521,11.832703,95603.164,1.1359237
2051300000,487.5441,11.832703,95604.42,1.1359386
2051304000,487.51123,11.832703,95604.805,1.1359432
2051311999,487.62393,11.832703,95603.53,1.1359282
2051316000,487.67557,11.832703,95602.88,1.1359204
2051324000,487.638,11.832703,95603.305,1.1359254
2051327999,487.7366,11.832703,95602.234,1.1359127
2051336000,487.39856,11.832703,95606.086,1.1359584
2051340000,487.5441,11.832703,95604.414,1.1359386
2051344000,487.7507,11.832703,95602.05,1.1359105
2051352000,487.6568,11.832703,95603.14,1.1359235
2051360000,487.75537,11.832703,95601.97,1.1359096
2051364000,487.5629,11.832703,95604.195,1.135936
2051372000,487.6427,11.832703,95603.27,1.135925
2051380000,487.71313,11.832703,95602.47,1.1359155
2051384000,487.71783,11.832703,95602.414,1.1359148
2051387999,487.6568,11.832703,95603.13,1.1359234
2051396000,487.59106,11.832703,95603.88,1.1359323
2051400000,487.69434,11.832703,95602.695,1.1359181
2051407999,487.60983,11.832703,95603.67,1.1359298
2051416000,487.6521,11.832703,95603.19,1.135924
2051420000,487.70844,11.832703,95602.52,1.1359161
2051424000,487.6474,11.832703,95603.25,1.1359248
2051432000,487.6333,11.832703,95603.39,1.1359265
2051436000,487.69434,11.832703,95602.71,1.1359184
2051440000,487.70844,11.832703,95602.555,1.1359165
2051443999,487.57227,11.832703,95604.12,1.1359351
2051448000,487.58636,11.832703,95603.914,1.1359327
2051456000,487.68967,11.832703,95602.734,1.1359186
2051460000,487.61453,11.832703,95603.586,1.1359288
2051463999,487.8399,11.832703,95601.03,1.1358984
2051468000,487.53473,11.832703,95604.49,1.1359395
2051472000,487.638,11.832703,95603.33,1.1359257
2051476000,487.638,11.832703,95603.36,1.135926
2051480000,487.60043,11.832703,95603.78,1.135931
2051483999,487.5629,11.832703,95604.195,1.135936
2051492000,487.5582,11.832703,95604.25,1.1359366
2051496000,487.66617,11.832703,95603.016,1.135922
2051503999,487.5676,11.832703,95604.164,1.1359357
2051508000,487.67557,11.832703,95602.9,1.1359205
2051512000,487.6333,11.832703,95603.375,1.1359262
2051520000,487.43613,11.832703,95605.67,1.1359535
2051523999,487.6521,11.832703,95603.164,1.1359237
2051528000,487.69904,11.832703,95602.64,1.1359175
2051532000,487.7366,11.832703,95602.22,1.1359125
2051536000,487.66617,11.832703,95603.055,1.1359224
2051539999,487.61453,11.832703,95603.625,1.1359292
2051543999,487.66147,11.832703,95603.09,1.1359229
2051548000,487.6333,11.832703,95603.39,1.1359265
2051552000,487.42673,11.832703,95605.734,1.1359543
2051559999,487.48306,11.832703,95605.09,1.1359466
2051564000,487.77417,11.832703,95601.77,1.1359072
2051568000,487.6333,11.832703,95603.41,1.1359266
2051572000,487.76947,11.832703,95601.84,1.135908
2051576000,487.6474,11.832703,95603.25,1.1359248
2051579999,487.53003,11.832703,95604.555,1.1359403
2051584000,487.6333,11.832703,95603.375,1.1359262
2051592000,487.49716,11.832703,95604.94,1.1359448
2051596000,487.38916,11.832703,95606.2,1.1359599
2051599999,487.57697,11.832703,95604.02,1.135934
2051604000,487.6427,11.832703,95603.29,1.1359252
2051608000,487.6568,11.832703,95603.125,1.1359233
2051616000,487.7413,11.832703,95602.16,1.1359118
2051624000,487.52533,11.832703,95604.62,1.135941
2051628000,487.5488,11.832703,95604.39,1.1359383
2051635999,487.69904,11.832703,95602.65,1.1359177
2051639999,487.59576,11.832703,95603.81,1.1359315
2051644000,487.62393,11.832703,95603.516,1.1359279
2051652000,487.67087,11.832703,95602.96,1.1359214
2051655999,487.67087,11.832703,95602.99,1.1359217
2051664000,487.58636,11.832703,95603.945,1.135933
2051668000,487.71313,11.832703,95602.47,1.1359155
2051675999,487.66147,11.832703,95603.07,1.1359227
2051680000,487.53473,11.832703,95604.49,1.1359395
2051688000,487.5629,11.832703,95604.19,1.1359359
2051692000,487.60043,11.832703,95603.78,1.135931
2051695999,487.71313,11.832703,95602.484,1.1359156
2051700000,487.6427,11.832703,95603.29,1.1359252
2051704000,487.5441,11.832703,95604.42,1.1359386
2051708000,487.62393,11.832703,95603.53,1.1359282
2051715999,487.69434,11.832703,95602.72,1.1359185
2051720000,487.69434,11.832703,95602.72,1.1359185
2051724000,487.638,11.832703,95603.36,1.135926
2051731999,487.8164,11.832703,95601.33,1.1359019
2051735999,487.60983,11.832703,95603.64,1.1359293
2051740000,487.66617,11.832703,95603.04,1.1359223
2051744000,487.68027,11.832703,95602.84,1.1359199
2051748000,487.53473,11.832703,95604.52,1.1359398
2051751999,487.52063,11.832703,95604.67,1.1359416
2051760000,487.67087,11.832703,95602.945,1.1359211
2051764000,487.67087,11.832703,95602.945,1.1359211
2051768000,487.5535,11.832703,95604.27,1.135937
2051776000,487.70844,11.832703,95602.55,1.1359164
2051780000,487.58636,11.832703,95603.945,1.135933
2051784000,487.68967,11.832703,95602.75,1.1359189
2051788000,487.58636,11.832703,95603.94,1.1359329
2051791999,487.5535,11.832703,95604.28,1.135937
2051796000,487.57227,11.832703,95604.11,1.135935
2051800000,487.5535,11.832703,95604.305,1.1359373
2051804000,487.51123,11.832703,95604.8,1.1359432
2051808000,487.66617,11.832703,95603.055,1.1359224
