timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
2051220000,-0.005257021,-0.012037866,-0.033889383,-0.013753068,-0.01945665,-0.01953125,0.0008044839,0.0018812865,-0.002220273,0.0050348043,0.0,0.0,0.0,0.0,0.004241258,0.2659531,0.26595312,0.5735333,1.0948116,1.0948114,4.0553226,0.0025036596,0.0025054808,0.002501515,0.09013906,0.0,0.0,0.0,0.0,0.2211972,0.00013348665,0.0010726961,0.003579955,0.0,0.0,0.0,0.0,0.0,0.0
2051412000,-0.0057201525,-0.009906074,-0.022980103,-0.013090026,-0.013242364,0.2657776,0.0008044839,0.0018812865,-0.002220273,0.0119538605,0.0,0.0,0.0,0.0,0.004241258,0.26593134,0.2659314,0.57353824,1.0946047,1.0946046,4.055381,0.0025036596,0.0025054808,0.002501515,0.09013908,0.0,0.0,0.0,0.0,0.2211972,0.00012957353,0.0010388985,0.003784631,0.0,0.0,0.0,0.0,0.0,0.0
2051619999,0.0039623436,-0.03265027,-0.029407157,-0.0126604065,-0.022933645,0.00018310547,0.0008044839,0.0018812865,-0.002220273,0.006159842,0.0,0.0,0.0,0.0,0.004241258,0.26597834,0.2659784,0.57349443,1.0948737,1.0948737,4.0554457,0.0025036596,0.0025054808,0.002501515,0.090139106,0.0,0.0,0.0,0.0,0.2211972,0.00017047633,0.001586529,0.0035427676,0.0,0.0,0.0,0.0,0.0,0.0
2051820000,0.005148915,-0.023518277,0.0075954646,-0.013178103,-0.021906734,0.05987549,0.0008044839,0.0018812865,-0.002220273,0.007568091,0.0,0.0,0.0,0.0,0.004241258,0.26594985,0.2659499,0.5734972,1.0946641,1.0946641,4.055493,0.0025036596,0.0025054808,0.002501515,0.09013913,0.0,0.0,0.0,0.0,0.2211972,0.0001702246,0.0016868908,0.003772205,0.0,0.0,0.0,0.0,0.0,0.0
2052020000,-0.007818771,-0.025496276,0.005449159,-0.013775535,-0.022204392,-0.040222168,0.0008044839,0.0018812865,-0.002220273,0.00932622,0.0,0.0,0.0,0.0,0.004241258,0.26592547,0.2659255,0.57349896,1.094478,1.094478,4.055373,0.0025036596,0.0025054808,0.002501515,0.09013908,0.0,0.0,0.0,0.0,0.2211972,0.0001550003,0.0019857858,0.0053178067,0.0,0.0,0.0,0.0,0.0,0.0
2052220000,-0.008716933,-0.038827986,0.039683532,-0.013208482,-0.022733368,-0.009979248,0.0008044839,0.0018812865,-0.002220273,-0.0064866245,0.0,0.0,0.0,0.0,0.004241258,0.26590744,0.26590744,0.5735032,1.0943131,1.0943131,4.0554256,0.0025036596,0.0025054808,0.002501515,0.090139106,0.0,0.0,0.0,0.0,0.2211972,0.00015256564,0.0022687675,0.0048114415,0.0,0.0,0.0,0.0,0.0,0.0
2052427999,-0.023202654,-0.03094692,0.03055123,-0.013282504,-0.02272592,-0.0017089844,0.0008044839,0.0018812865,-0.002220273,0.005572766,0.0,0.0,0.0,0.0,0.004241258,0.2659588,0.26595882,0.57354885,1.0946188,1.0946188,4.0554776,0.0025036596,0.0025054808,0.002501515,0.09013912,0.0,0.0,0.0,0.0,0.2211972,0.00018830525,0.0029327907,0.0068953964,0.0,0.0,0.0,0.0,0.0,0.0
2052628000,-0.013709694,-0.024743443,0.053256914,-0.012186114,-0.023747427,-0.017333984,0.0008044839,0.0018812865,-0.002220273,0.007919043,0.0,0.0,0.0,0.0,0.004241258,0.26593593,0.26593596,0.57346296,1.0944434,1.0944434,4.0555296,0.0025036596,0.0025054808,0.002501515,0.09013914,0.0,0.0,0.0,0.0,0.2211972,0.00012768352,0.0028984104,0.007041937,0.0,0.0,0.0,0.0,0.0,0.0
2052827999,-0.0059048645,-0.045775153,0.043193825,-0.0122777,-0.02594976,-0.02319336,0.0008044839,0.0018812865,-0.002220273,-0.003931433,0.0,0.0,0.0,0.0,0.004241258,0.26591843,0.26591846,0.57346755,1.094288,1.094288,4.0552764,0.0025036596,0.0025054808,0.002501515,0.09013908,0.0,0.0,0.0,0.0,0.2211972,0.00014891494,0.0026141568,0.005758172,0.0,0.0,0.0,0.0,0.0,0.0
2053036000,-0.017755907,-0.041038286,0.056853004,-0.013788179,-0.026239228,0.041992188,0.0008044839,0.0018812865,-0.002220273,0.0042439103,0.0,0.0,0.0,0.0,0.004241258,0.26590177,0.26590174,0.57347333,1.0941501,1.0941501,4.0554743,0.0025036596,0.0025054808,0.002501515,0.09013912,0.0,0.0,0.0,0.0,0.2211972,0.0001758752,0.0027877132,0.0062148236,0.0,0.0,0.0,0.0,0.0,0.0
