timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
3781452000,28,0,1,55,0,0,1,1,0,0,0,0,0,0
3793268000,28,0,1,55,0,0,1,1,0,0,0,0,0,0
3793324000,28,1,2,55,0,0,1,1,0,0,0,0,0,0
3822448000,28,2,3,55,0,0,1,1,0,0,0,0,0,0
3822504000,28,3,4,55,0,0,1,1,0,0,0,0,0,0
3827772000,28,4,5,55,0,0,1,1,0,0,0,0,0,0
3827824000,28,5,6,55,0,0,1,1,0,0,0,0,0,0
3844172000,28,6,7,55,0,0,1,1,0,0,0,0,0,0
3847644000,28,7,8,55,0,0,1,1,0,0,0,0,0,0
3862316000,28,8,9,55,0,0,1,1,0,0,0,0,0,0
3868196000,28,9,10,55,0,0,1,1,0,0,0,0,0,0
3868252000,28,10,11,55,0,0,1,1,0,0,0,0,0,0
3896756000,28,11,12,55,0,0,1,1,0,0,0,0,0,0
3899388000,28,12,13,55,0,0,1,1,0,0,0,0,0,0
3907344000,28,13,14,55,0,0,1,1,0,0,0,0,0,0
3912608000,28,14,15,55,0,0,1,1,0,0,0,0,0,0
3912664000,28,15,16,55,0,0,1,1,0,0,0,0,0,0
3953824000,28,16,17,55,0,0,1,1,0,0,0,0,0,0
3956400000,28,17,18,55,0,0,1,1,0,0,0,0,0,0
3964520000,28,18,19,55,0,0,1,1,0,0,0,0,0,0
3969616000,28,19,20,55,0,0,1,1,0,0,0,0,0,0
3969672000,28,20,21,55,0,0,1,1,0,0,0,0,0,0
4014416000,28,21,22,55,0,0,1,1,0,0,0,0,0,0
4017608000,28,22,23,55,0,0,1,1,0,0,0,0,0,0
4025728000,28,23,24,55,0,0,1,1,0,0,0,0,0,0
4031160000,28,24,25,55,0,0,1,1,0,0,0,0,0,0
4031216000,28,25,26,55,0,0,1,1,0,0,0,0,0,0
4075064000,28,26,27,55,0,0,1,1,0,0,0,0,0,0
4077696000,28,27,28,55,0,0,1,1,0,0,0,0,0,0
4087328000,28,28,29,55,0,0,1,1,0,0,0,0,0,0
4091528000,28,29,30,55,0,0,1,1,0,0,0,0,0,0
4091584000,28,30,31,55,0,0,1,1,0,0,0,0,0,0
4135380000,28,31,32,55,0,0,1,1,0,0,0,0,0,0
4138576000,28,32,33,55,0,0,1,1,0,0,0,0,0,0
4146583999,28,33,34,55,0,0,1,1,0,0,0,0,0,0
4151620000,28,34,35,55,0,0,1,1,0,0,0,0,0,0
4151680000,28,35,36,55,0,0,1,1,0,0,0,0,0,0
4194964000,28,36,37,55,0,0,1,1,0,0,0,0,0,0
4197544000,28,37,38,55,0,0,1,1,0,0,0,0,0,0
4207283999,28,38,39,55,0,0,1,1,0,0,0,0,0,0
4211708000,28,39,40,55,0,0,1,1,0,0,0,0,0,0
4211764000,28,40,41,55,0,0,1,1,0,0,0,0,0,0
4242507999,28,41,42,55,0,0,1,1,0,0,0,0,0,0
4245756000,28,42,43,55,0,0,1,1,0,0,0,0,0,0
4264572000,28,43,44,55,0,0,1,1,0,0,0,0,0,0
4267819999,28,44,45,55,0,0,1,1,0,0,0,0,0,0
4267876000,28,45,46,55,0,0,1,1,0,0,0,0,0,0
4283216000,28,46,47,55,0,0,1,1,0,0,0,0,0,0
4285848000,28,47,48,55,0,0,1,1,0,0,0,0,0,0
4295200000,28,48,49,55,0,0,1,1,0,0,0,0,0,0
4300128000,28,49,50,55,0,0,1,1,0,0,0,0,0,0
4300184000,28,50,51,55,0,0,1,1,0,0,0,0,0,0
4303600000,28,51,52,55,0,0,1,1,0,0,0,0,0,0
4307800000,28,52,53,55,0,0,1,1,0,0,0,0,0,0
4307856000,28,53,54,55,0,0,1,1,0,0,0,0,0,0
4307912000,28,53,54,55,0,0,1,1,0,0,0,0,0,0
4387664000,29,-1,0,55,0,0,1,1,0,0,0,0,0,0
