timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail,health_flags,timeout_flags
3782260000,-0.9772002,0.0018105967,-0.00020711245,-0.2123126,-0.0019736,0.0032874083,0.0019294322,-0.12962139,-0.13844636,-0.027598556,-4.744233e-06,-3.551184e-05,-1.7436004e-06,-0.0020867123,0.0016000258,-0.00079921255,0.2169645,0.009912845,0.4291222,1.7327819e-05,-0.00034206623,-0.0008805915,0.0,0.0,5.202864e-10,2.4139683e-05,0.00027735057,1.5948466e-06,5.8331175e-06,5.8323917e-06,3.3162727e-05,0.016239902,0.016239913,0.011016499,0.09612803,0.09612801,0.05565434,1.0599102e-11,1.0599284e-11,1.7882144e-11,5.0458677e-08,5.0459214e-08,5.000007e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.4384701,0.23591173,0.0033786169,0.0061626807,0.003177391,0.007919183,0.0,0.0125987595,0.0,0.62,0,0,0,895,24,0,0,0
3782460000,-0.97716945,0.0019306976,-0.00019186108,-0.21245237,-0.0021977467,0.0015193438,0.0028683841,-0.13109145,-0.13928014,-0.027277306,-4.742181e-06,-3.551451e-05,-1.7353207e-06,-0.0020867125,0.001600026,-0.000798829,0.2169645,0.009912845,0.4291222,1.7327819e-05,-0.00034206623,-0.0008805915,0.0,0.0,5.279021e-10,2.4029507e-05,0.0002863868,1.5973222e-06,5.8170904e-06,5.8163782e-06,3.3165245e-05,0.016110525,0.016110532,0.011011181,0.09552118,0.09552116,0.05568987,1.05888935e-11,1.0589073e-11,1.7883191e-11,5.04596e-08,5.0460137e-08,5.0000075e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.4370839,0.23598702,0.0037329139,0.005635901,0.002838582,0.0022639125,0.0,0.0125987595,0.0,0.62,0,0,0,831,24,0,0,0
3782660000,-0.977164,0.0020436635,-0.00021632659,-0.2124767,-0.0011170082,-0.0017897208,0.0019314066,-0.13235667,-0.14040966,-0.025424767,-4.740097e-06,-3.5516114e-05,-1.7010191e-06,-0.0020867118,0.0016000255,-0.00079932506,0.2169645,0.009912845,0.4291222,1.7327819e-05,-0.00034206623,-0.0008805915,0.0,0.0,4.799806e-10,2.3425211e-05,0.00028128218,1.598908e-06,5.80397e-06,5.8032724e-06,3.3168602e-05,0.016001692,0.01600167,0.011006786,0.09497419,0.09497417,0.055726223,1.058061e-11,1.0580789e-11,1.7884225e-11,5.046052e-08,5.0461058e-08,5.0000075e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.43583065,0.23606402,0.004828907,0.0010474633,0.0025469966,0.0015516971,0.0,0.0125987595,0.0,0.62,0,0,0,831,24,0,0,0
3782860000,-0.9771707,0.0020432677,-0.00025001538,-0.21244618,-0.0030526025,-0.0062463977,0.0016418337,-0.13364877,-0.14291032,-0.02082522,-4.735317e-06,-3.551943e-05,-1.684133e-06,-0.0020867083,0.001600025,-0.0008010089,0.2169645,0.009912845,0.4291222,1.7327819e-05,-0.00034206623,-0.0008805915,0.0,0.0,5.2307136e-10,2.4670877e-05,0.00028549397,1.5991268e-06,5.7932502e-06,5.792549e-06,3.317335e-05,0.015909208,0.01590918,0.010912531,0.0944814,0.094481386,0.054992646,1.057391e-11,1.0574086e-11,1.7885268e-11,5.0461445e-08,5.046198e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.4346985,0.2345051,0.006938312,0.002896143,0.002317514,0.0048642852,0.0,1.8325666e-06,0.0,0.62,0,0,0,895,24,0,0,0
3783060000,-0.9771638,0.0020005524,-0.00015825938,-0.21247841,-0.0038502142,-0.010275053,0.0014638276,-0.13377754,-0.14309524,-0.019321691,-4.7410335e-06,-3.5509653e-05,-1.663262e-06,-0.0020867088,0.0016000245,-0.00080134056,0.2169645,0.009912845,0.4291222,1.7327819e-05,-0.00034206623,-0.0008805915,0.0,0.0,4.9644794e-10,2.3812814e-05,0.0002828504,1.6003917e-06,5.784537e-06,5.783835e-06,3.317706e-05,0.015829816,0.015829777,0.010909837,0.0940377,0.09403768,0.055029538,1.0568522e-11,1.0568696e-11,1.7886305e-11,5.0462365e-08,5.04629e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.43367657,0.23458375,0.0046559586,0.0070844064,0.0020503511,0.003721691,0.0,1.8325666e-06,0.0,0.62,0,0,0,895,24,0,0,0
3783260000,-0.9771552,0.0018776051,-0.00018398496,-0.21251866,-0.009004169,-0.01348444,-0.00022636085,-0.13541746,-0.14375994,-0.016008468,-4.7504536e-06,-3.5503832e-05,-1.6731849e-06,-0.002086708,0.0016000232,-0.00080256606,0.2169645,0.009912845,0.4291222,1.7327819e-05,-0.00034206623,-0.0008805915,0.0,0.0,5.4596594e-10,2.4676188e-05,0.0002828303,1.6008036e-06,5.7775364e-06,5.776819e-06,3.318162e-05,0.015764272,0.015764244,0.010908077,0.093638755,0.09363875,0.055067636,1.0564227e-11,1.05643974e-11,1.7887343e-11,5.0463285e-08,5.046382e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.4327557,0.23466495,0.0051709116,0.0082765035,0.0020162412,0.0034367894,0.0,1.8325666e-06,0.0,0.62,0,0,0,895,24,0,0,0
3783460000,-0.9771436,0.0017499682,-0.00011121993,-0.21257322,-0.011864342,-0.015229231,0.0012982787,-0.13494672,-0.14665247,-0.016195865,-4.744451e-06,-3.5488953e-05,-1.6372774e-06,-0.0020867097,0.0016000238,-0.0008028113,0.2169645,0.009912845,0.4291222,1.7327819e-05,-0.00034206623,-0.0008805915,0.0,0.0,5.5134636e-10,2.4560015e-05,0.00028563206,1.6004282e-06,5.77193e-06,5.771201e-06,3.3133336e-05,0.015706172,0.01570617,0.010907113,0.093280286,0.093280256,0.05510645,1.0560822e-11,1.0560991e-11,1.787713e-11,5.046421e-08,5.0464745e-08,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.43192655,0.23474763,0.007888199,0.012068221,0.0016531363,0.00089404575,0.0,1.8325666e-06,0.0,0.62,0,0,0,895,24,0,0,0
3783660000,-0.9771258,0.0017443317,4.030845e-05,-0.2126551,-0.013240617,-0.017200358,-0.0010761828,-0.1345735,-0.14959788,-0.017601501,-4.739991e-06,-3.547237e-05,-1.6039871e-06,-0.002086712,0.0016000251,-0.0008021884,0.2169645,0.009912845,0.4291222,1.7327819e-05,-0.00034206623,-0.0008805915,0.0,0.0,5.5183885e-10,2.4309616e-05,0.000288831,1.6028099e-06,5.7675156e-06,5.766791e-06,3.313588e-05,0.01565973,0.01565975,0.010908551,0.092958756,0.09295873,0.05515439,1.0558162e-11,1.055833e-11,1.7878152e-11,5.046513e-08,5.0465665e-08,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.43118152,0.23484972,0.03236119,0.01276195,0.0017234695,0.003494467,0.0,1.8325666e-06,0.0,0.62,0,0,0,895,24,0,0,0
3783860000,-0.97713006,0.0017884852,6.5604145e-05,-0.21263506,-0.012625148,-0.02071338,-0.00036831482,-0.13399132,-0.1524383,-0.016692262,-4.735774e-06,-3.5451336e-05,-1.5763742e-06,-0.0020867141,0.0016000263,-0.0008026229,0.2169645,0.009912845,0.4291222,1.7327819e-05,-0.00034206623,-0.0008805915,0.0,0.0,5.6227156e-10,2.4172401e-05,0.0002754241,1.6034982e-06,5.7640473e-06,5.7633283e-06,3.3140168e-05,0.015619562,0.015619578,0.010909047,0.09267095,0.09267093,0.055194814,1.0556092e-11,1.0556258e-11,1.7879195e-11,5.0466053e-08,5.046659e-08,5.000004e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.4305135,0.23493576,0.0029184495,0.016641458,0.0039144126,8.78916e-05,0.0,1.8325666e-06,0.0,0.62,0,0,0,895,24,0,0,0
3784060000,-0.9771497,0.0016528196,0.0002194753,-0.21254577,-0.014536654,-0.023516254,-0.00055744336,-0.13934574,-0.15585597,-0.017972924,-4.7408535e-06,-3.545675e-05,-1.5471791e-06,-0.0020867141,0.0016000257,-0.0008022574,0.2169645,0.009912845,0.4291222,1.7327819e-05,-0.00034206623,-0.0008805915,0.0,0.0,6.208655e-10,2.4676952e-05,0.00029092823,1.6032023e-06,5.7613934e-06,5.760656e-06,3.314539e-05,0.015586382,0.015586378,0.010911908,0.0924136,0.092413574,0.05524457,1.0554516e-11,1.0554679e-11,1.7880222e-11,5.0466973e-08,5.046751e-08,5.0000036e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663,0.4299153,0.23504163,0.018148087,0.0027334185,0.0040280614,0.0026882542,0.0,1.8325666e-06,0.0,0.62,0,0,0,895,24,0,0,0
