timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
3783272000,0.057153996,0.018738441,0.42857334,0.0,0.9767434,0.025926843,0.015226878,0.21229275,0.0,0.0,-0.12021737,1,0,0,0,0,0
3783364000,0.030725805,-0.05166471,0.42762536,0.0,0.97670346,0.020487517,-0.021979745,0.21247922,0.0,0.0,-0.12021707,1,0,0,0,0,0
3783460000,0.019528262,-0.048577763,0.42762536,0.0,0.9768439,0.014691865,-0.021661153,0.21234633,0.0,0.0,-0.15933254,1,0,0,0,0,0
3783572000,0.015067779,-0.029942855,0.42762536,0.0,0.9770678,0.010537977,-0.01303115,0.21226771,0.0,0.0,-0.23778889,1,0,0,0,0,0
3783664000,0.014692765,-0.027317546,0.42762536,0.0,0.9770902,0.010076414,-0.011788325,0.21225986,0.0,0.0,-0.30458456,1,0,0,0,0,0
3783756000,0.013197387,-0.023506822,0.42762536,0.0,0.9771238,0.008941754,-0.010085207,0.21224378,0.0,0.0,-0.3731168,1,0,0,0,0,0
3783868000,0.0124218445,-0.017555006,0.42762536,0.0,0.97716093,0.007931636,-0.0072595356,0.2122283,0.0,0.0,-0.45517936,1,0,0,0,0,0
3783964000,0.011700289,-0.016283734,0.42762536,0.0,0.9771698,0.007444262,-0.006714967,0.21222316,0.0,0.0,-0.528002,1,0,0,0,0,0
3784076000,0.010202268,-0.014732057,0.42762536,0.0,0.97718185,0.0065477625,-0.0061157765,0.21221548,0.0,0.0,-0.6082473,1,0,0,0,0,0
3784168000,0.0074785817,-0.011181742,0.42762536,0.0,0.9772025,0.004840375,-0.0046700793,0.21220294,0.0,0.0,-0.61057734,1,0,0,0,0,0
3784260000,0.0012620621,-0.0035125886,0.42762536,0.0,0.9772271,0.000989324,-0.001582404,0.21218802,0.0,0.0,-0.6057729,1,0,0,0,0,0
3784372000,-0.0037031458,0.0013533712,0.42762536,0.0,0.97722685,-0.001952993,0.0002683957,0.2121881,0.0,0.0,-0.61130494,1,0,0,0,0,0
3784468000,-0.004857281,0.0035933272,0.42762536,0.0,0.97722363,-0.0027545597,0.0012404204,0.21219057,0.0,0.0,-0.6177242,1,0,0,0,0,0
3784560000,-0.003994423,0.004528415,0.42762536,0.0,0.97722363,-0.0024321612,0.0017888614,0.21219076,0.0,0.0,-0.61658984,1,0,0,0,0,0
3784672000,-0.0050674565,0.0028243202,0.42762536,0.0,0.9772241,-0.002775669,0.0008423752,0.21218991,0.0,0.0,-0.6178644,1,0,0,0,0,0
3784764000,-0.00442832,0.0030169915,0.42762536,0.0,0.9772248,-0.0024838198,0.0010043259,0.21218978,0.0,0.0,-0.61784923,1,0,0,0,0,0
3784860000,-0.003250829,0.0033299585,0.42762536,0.0,0.97722584,-0.0019416861,0.0012821716,0.21218938,0.0,0.0,-0.6245765,1,0,0,0,0,0
3784972000,-0.0035276182,0.0027113385,0.42762536,0.0,0.9772261,-0.0020112982,0.00095053954,0.21218912,0.0,0.0,-0.62762475,1,0,0,0,0,0
3785064000,-0.0031826142,0.0031114346,0.42762536,0.0,0.9772261,-0.0018851717,0.001182635,0.2121892,0.0,0.0,-0.6257919,1,0,0,0,0,0
