timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
3782260000,1684000,47.3977508,8.5456074,-0.1361318,-0.14030954,-0.024148596,-0.022669492,-0.0033747193,0.0,-0.0037722432,0.0011480429,0.003583621,0.026134556,-0.05914641,-0.009015089,0.12613459,-0.03260005,-0.030773748,-0.054011118,0.4281755,0.0,0.1,-0.003583621,0.4384701,0.23591173,0.18022157,0.10495951,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
3782364000,1684000,47.3977508,8.5456074,-0.13684568,-0.14101823,-0.022913644,-0.022669492,-0.0033747193,0.0,-0.0047706515,0.0005674463,0.0032632682,0.024167206,-0.05914641,-0.009015089,0.12613459,-0.016012758,-0.054986287,-0.09699351,0.42823914,0.0,0.1,-0.0032632682,0.42474252,0.23478715,0.1750912,0.10432474,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
3782460000,1684000,47.3977508,8.5456074,-0.13738641,-0.1416727,-0.022048002,-0.022669492,-0.0033747193,0.0,-0.0028530078,-0.0022692843,0.003930037,0.023292158,-0.05914641,-0.009015089,0.12613459,0.0468924,-0.0065935235,0.06572529,0.42831007,0.0,0.1,-0.003930037,0.4370839,0.23598702,0.17950225,0.10493418,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
3782556000,1684000,47.3977508,8.5456074,-0.13784276,-0.1425368,-0.02127807,-0.022669492,-0.0033747193,0.0,-0.0038857092,-0.0034027782,0.0029077178,0.020855164,-0.05914641,-0.009015089,0.12613459,-0.0067848354,-0.010050662,-0.03618933,0.42842072,0.0,0.1,-0.0029077178,0.4225592,0.23421344,0.17412774,0.104104035,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
3782660000,1684000,47.3977508,8.5456074,-0.13833266,-0.1435646,-0.020630967,-0.022669492,-0.0033747193,0.0,-0.004954019,-0.0052078003,0.0018649924,0.018415814,-0.05914641,-0.009015089,0.12613459,0.020980768,0.03700116,-0.025897285,0.42836857,0.0,0.1,-0.0018649924,0.43583065,0.23606402,0.17889483,0.10491323,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
3782756000,1684000,47.3977508,8.5456074,-0.13894658,-0.14488328,-0.019783689,-0.022669492,-0.0033747193,0.0,-0.0067726644,-0.008568146,0.0021159681,0.0177865,-0.05914641,-0.009015089,0.12613459,-0.035592563,0.028930737,-0.023690982,0.42843422,0.0,0.1,-0.0021159681,0.42149213,0.23428172,0.17361806,0.10408155,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
3782860000,1684000,47.3977508,8.5456074,-0.13970809,-0.14649609,-0.018799413,-0.022669492,-0.0033747193,0.0,-0.00651208,-0.011074117,0.001315143,0.016241636,-0.05914641,-0.009015089,0.12613459,-0.0109829195,-0.042198807,-0.041769814,0.42836657,0.0,0.1,-0.001315143,0.4346985,0.2345051,0.1783771,0.10446306,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
3782956000,1684000,47.3977508,8.5456074,-0.14014995,-0.14774382,-0.017704159,-0.022669492,-0.0033747193,0.0,-0.007824548,-0.01362677,0.001639967,0.016083008,-0.05914641,-0.009015089,0.12613459,-0.012089325,0.05944977,0.006551854,0.42841214,0.0,0.1,-0.001639967,0.42052668,0.23436919,0.17318124,0.10407101,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
3783060000,1684000,47.3977508,8.5456074,-0.14069141,-0.14909421,-0.016686859,-0.022669492,-0.0033747193,0.0,-0.011128361,-0.016267998,-0.00073290645,0.013212696,-0.05914641,-0.009015089,0.12613459,-0.03186838,-0.0031569542,-0.052368265,0.42833906,0.0,0.1,0.00073290645,0.43367657,0.23458375,0.17793143,0.104450166,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
3783156000,1684000,47.3977508,8.5456074,-0.14151295,-0.1500149,-0.015683716,-0.022669492,-0.0033747193,0.0,-0.014190993,-0.015427829,0.00051952165,0.014165718,-0.05914641,-0.009015089,0.12613459,-0.11012902,-0.046370182,-0.07626786,0.42846084,0.0,0.1,-0.00051952165,0.41965404,0.23444086,0.17281203,0.10405674,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,1
