timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
2564252000,47.39775016235022,8.545607978630898,-0.024080629,-1.6475526,-0.0,0.04355471,0.045155846,0.013586487,0.41588673,1.0839058,1.0272106,-0.12441662,2,0,1,0
2564452000,47.39775021034687,8.545607977661124,-0.022677397,-1.6261494,-0.0,0.04644103,0.041591994,0.011622696,0.41607895,1.0836602,1.0272374,-0.124542885,2,0,1,0
2564652000,47.39775025136325,8.545607972149584,-0.02056796,-1.60404,-0.0,0.048786618,0.038788788,0.011927339,0.4162197,1.08344,1.0268936,-0.124542885,2,0,1,0
2564852000,47.397750285268124,8.545607963364603,-0.018442724,-1.5819148,-0.0,0.049493585,0.037943196,0.009112438,0.416196,1.0832428,1.0269197,-0.124542885,2,0,1,0
2565052000,47.397750311610366,8.545607949125444,-0.016592132,-1.5600642,-0.0,0.048196513,0.037227362,0.0113449525,0.41622233,1.0830667,1.0269476,-0.124542885,2,0,1,0
2565252000,47.39775033753519,8.545607924394123,-0.015372843,-1.538845,-0.0,0.04894676,0.03401844,0.006091947,0.4162495,1.0829101,1.0269734,-0.124542885,2,0,1,0
2565452000,47.39775036796688,8.545607903505275,-0.01525052,-1.5187227,-0.0,0.04823111,0.03436619,0.008600166,0.41643384,1.0827708,1.0270013,-0.124542885,2,0,1,0
2565652000,47.397750388035085,8.545607888265952,-0.0148316,-1.4983037,-0.0,0.046567943,0.033943657,0.007537101,0.4166596,1.0826476,1.027029,-0.124542885,2,0,1,0
2565852000,47.39775040094702,8.545607888840125,-0.014491931,-1.477964,-0.0,0.045716744,0.035075866,0.005036712,0.41696507,1.0825386,1.0270623,-0.124542885,2,0,1,0
2566052000,47.397750406433765,8.545607906249932,-0.014105545,-1.4575777,-0.0,0.041894443,0.03341511,-0.00072906056,0.41680267,1.0824428,1.0270932,-0.124542885,2,0,1,0
2566252000,47.39775037189492,8.545607913577038,0.0060686264,-1.4174036,-0.0,-0.0012586559,0.019105846,-0.216068,0.41679466,1.0823588,1.0271276,-0.124542885,2,0,1,0
2566452000,47.39775024526237,8.545607861132467,0.07742987,-1.3260423,-0.0,-0.058366142,-0.0012779161,-0.47520986,0.4162055,1.082289,1.0271597,-0.124542885,2,0,1,0
2566652000,47.3977500646133,8.54560778007842,0.20026922,-1.183203,-0.0,-0.068522006,-0.002683349,-0.7370048,0.41603774,1.0822442,1.0271932,-0.124542885,2,0,1,0
2566852000,47.39774989132338,8.54560770856715,0.37434348,-0.9891287,-0.0,-0.053182784,0.0030924678,-0.99972963,0.4155543,1.0822208,1.0268587,-0.124542885,2,0,1,0
2567052000,47.39774973720324,8.545607642319533,0.6001926,-0.7455357,-0.0,-0.036514033,0.006982682,-1.2569311,0.41573143,1.0822157,1.0268906,-0.124542885,2,0,1,0
2567252000,47.39774961538914,8.545607576527157,0.8786417,-0.4547137,-0.0,-0.02319695,0.012146826,-1.5180051,0.4156242,1.0822259,1.0269241,-0.124542885,2,0,1,0
2567452000,47.397749514194516,8.545607496742978,1.209975,-0.11733961,-0.0,-0.0091855135,0.01261346,-1.7749842,0.41544822,1.0822489,1.0269554,-0.124542885,2,0,1,0
2567652000,47.39774943079766,8.545607427579453,1.5923785,0.26385808,-0.0,0.00065425434,0.01711065,-2.0310376,0.41539764,1.0822816,1.0269903,-0.124542885,2,0,1,0
2567852000,47.39774936763382,8.545607378286897,2.0247858,0.6869688,-0.0,0.009938633,0.019722993,-2.2915285,0.41629568,1.0823256,1.0270226,-0.124542885,2,0,1,0
