timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
2564148000,0.00025205984,0.0012352616,0.0017943422,0
2564348000,0.00025205984,0.0012352616,0.0017943422,1
2564548000,0.00025205984,0.0012352616,0.0017943422,1
2564748000,0.00025205984,0.0012352616,0.0017943422,1
2564948000,0.00025205984,0.0012352616,0.0017943422,1
2565148000,0.00025205984,0.0012352616,0.0017943422,1
2565348000,0.00025205984,0.0012352616,0.0017943422,1
3042552000,0.00025205984,0.0012352616,0.0017943422,1
3042752000,0.00025205984,0.0012352616,0.0017943422,1
3042952000,0.00025205984,0.0012352616,0.0017943422,1
3043152000,0.00025205984,0.0012352616,0.0017943422,1
3043352000,0.00025205984,0.0012352616,0.0017943422,1
