timestamp,hpos_drift_rate,vpos_drift_rate,hspd,blocked
8959752000,0.0018508756,0.0018231357,0.00087245845,1
8959952000,0.0018508756,0.0018231357,0.00087245845,1
8960152000,0.0018508756,0.0018231357,0.00087245845,1
8960352000,0.0018508756,0.0018231357,0.00087245845,1
8960552000,0.0018508756,0.0018231357,0.00087245845,1
8960752000,0.0018508756,0.0018231357,0.00087245845,1
8960952000,0.0018508756,0.0018231357,0.00087245845,1
9198648000,0.0018508756,0.0018231357,0.00087245845,1
9198848000,0.0018508756,0.0018231357,0.00087245845,1
9199048000,0.0018508756,0.0018231357,0.00087245845,1
9199248000,0.0018508756,0.0018231357,0.00087245845,1
9199448000,0.0018508756,0.0018231357,0.00087245845,1
9199648000,0.0018508756,0.0018231357,0.00087245845,1
