timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
2613228000,0.0043915734,0.014481446,-1.2077484,0.0,0.0,0.0
2613244000,0.004342467,0.014386125,-1.2076812,0.0,0.0,0.0
2613268000,0.00449356,0.013803784,-1.2073891,0.0,0.0,0.0
2613288000,0.004325253,0.01388284,-1.2074459,0.0,0.0,0.0
2613308000,0.0043510967,0.014061043,-1.2073798,0.0,0.0,0.0
2613328000,0.0037504616,0.013943138,-1.2075387,0.0,0.0,0.0
2613344000,0.0035168151,0.013950523,-1.2076367,0.0,0.0,0.0
2613364000,0.0036461842,0.014313477,-1.2077756,0.0,0.0,0.0
2613388000,0.0038878247,0.014350558,-1.2079129,0.0,0.0,0.0
2613404000,0.003825896,0.014655806,-1.2076483,0.0,0.0,0.0
2613424000,0.0037516006,0.015096621,-1.2076848,0.0,0.0,0.0
2613448000,0.0037575436,0.0147454385,-1.2078685,0.0,0.0,0.0
2613468000,0.00359555,0.015113652,-1.2077044,0.0,0.0,0.0
2613484000,0.0035731727,0.014722156,-1.2075466,0.0,0.0,0.0
2613508000,0.0035309065,0.014419572,-1.2076193,0.0,0.0,0.0
2613528000,0.003437711,0.014516424,-1.2075237,0.0,0.0,0.0
2613544000,0.0035980232,0.014515252,-1.207563,0.0,0.0,0.0
2613568000,0.0032770159,0.015031405,-1.2076871,0.0,0.0,0.0
2613584000,0.0033465293,0.014694056,-1.2078681,0.0,0.0,0.0
2613604000,0.003281119,0.0147240795,-1.2077646,0.0,0.0,0.0
2613628000,0.003346217,0.01460053,-1.2077428,0.0,0.0,0.0
2613640000,0.0031678907,0.014579759,-1.2077466,0.0,0.0,0.0
2613668000,0.0030978306,0.014704969,-1.2077274,0.0,0.0,0.0
2613684000,0.003048193,0.014463804,-1.2078617,0.0,0.0,0.0
2613708000,0.0025359648,0.014337156,-1.2076744,0.0,0.0,0.0
2613728000,0.0024818396,0.01400022,-1.2077148,0.0,0.0,0.0
2613748000,0.002338617,0.014250506,-1.2078102,0.0,0.0,0.0
2613764000,0.002423403,0.014458956,-1.2077829,0.0,0.0,0.0
2613784000,0.0030976534,0.014266773,-1.2077729,0.0,0.0,0.0
2613808000,0.0033986028,0.013864245,-1.2077729,0.0,0.0,0.0
2613824000,0.0036984277,0.013491615,-1.2076399,0.0,0.0,0.0
2613844000,0.0036619492,0.013103256,-1.2074451,0.0,0.0,0.0
2613868000,0.003889106,0.013111853,-1.2075081,0.0,0.0,0.0
2613888000,0.0036770732,0.0134476125,-1.2075596,0.0,0.0,0.0
2613908000,0.004005143,0.0134416465,-1.2075837,0.0,0.0,0.0
2613928000,0.0040304624,0.013705524,-1.207545,0.0,0.0,0.0
2613948000,0.004007931,0.013534312,-1.2074155,0.0,0.0,0.0
2613968000,0.0041615292,0.012840867,-1.2074199,0.0,0.0,0.0
2613988000,0.004439499,0.013011689,-1.2072906,0.0,0.0,0.0
2614008000,0.0044545773,0.013325607,-1.2073553,0.0,0.0,0.0
2614024000,0.004389768,0.013150953,-1.2073908,0.0,0.0,0.0
2614048000,0.004583904,0.01281767,-1.2075975,0.0,0.0,0.0
2614064000,0.004884461,0.012799475,-1.2073511,0.0,0.0,0.0
2614088000,0.004676149,0.012869522,-1.2073907,0.0,0.0,0.0
2614108000,0.0047908043,0.01271111,-1.2074358,0.0,0.0,0.0
2614128000,0.004524749,0.013046196,-1.2072071,0.0,0.0,0.0
2614148000,0.0044125365,0.012381522,-1.2072239,0.0,0.0,0.0
2614168000,0.004568877,0.012664365,-1.2070694,0.0,0.0,0.0
2614188000,0.004560186,0.013035674,-1.2069559,0.0,0.0,0.0
2614204000,0.0042875917,0.012870532,-1.2068604,0.0,0.0,0.0
2614228000,0.0042886725,0.012998423,-1.2065811,0.0,0.0,0.0
2614244000,0.6448007,1.091606,-0.02697283,0.0,0.0,-0.12268087
