timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
2613228000,2613228000,0.00042813236,0.0023783732,-0.24094413,-0.0,0.0,0.0,0.0,-1.0
2613328000,2613328000,-0.0007522428,0.0027515935,-0.24173036,-0.0,0.0,0.0,0.0,-1.0
2613428000,2613428000,0.0020299535,0.00405527,-0.24215098,-0.0,0.0,0.0,0.0,-1.0
2613524000,2613524000,0.0017009343,0.0040591643,-0.24116491,-0.0,0.0,0.0,0.0,-1.0
2613628000,2613628000,7.628888e-05,0.0030677053,-0.24128106,-0.0,0.0,0.0,0.0,-1.0
2613728000,2613728000,7.596814e-05,0.0024868993,-0.24208453,-0.0,0.0,0.0,0.0,-1.0
2613828000,2613828000,0.003762816,0.002010082,-0.24098106,-0.0,0.0,0.0,0.0,-1.0
2613928000,2613928000,-0.00020243519,0.0051950673,-0.24129592,-0.0,0.0,0.0,0.0,-1.0
2614028000,2614028000,0.0008834528,0.00095126237,-0.24170549,-0.0,0.0,0.0,0.0,-1.0
2614128000,2614128000,-0.0001103394,0.0015499706,-0.24081023,-0.0,0.0,0.0,0.0,-1.0
2614228000,2614228000,-0.00020187284,0.0013228317,-0.24027169,-0.0,0.0,0.0,0.0,-1.0
2614328000,2614328000,0.06115524,0.030382778,0.0003241536,0.120171174,0.0,0.0,0.0,-1.0
2614428000,2614428000,0.049126767,-0.014316682,0.000885519,0.15552838,0.0,0.0,0.0,-1.0
2614524000,2614524000,0.033780497,-0.01496947,0.001115958,0.21136935,0.0,0.0,0.0,-1.0
2614628000,2614628000,0.03154718,-0.013048144,0.00044704197,0.2786515,0.0,0.0,0.0,-1.0
2614728000,2614728000,0.030356454,-0.0108607095,0.0007882967,0.3369689,0.0,0.0,0.0,-1.0
2614828000,2614828000,0.027662572,-0.008893885,-0.00064818095,0.42109433,0.0,0.0,0.0,-1.0
2614924000,2614924000,0.027275765,-0.007990798,-0.00012531248,0.49217147,0.0,0.0,0.0,-1.0
2615024000,2615024000,0.026181666,-0.009644946,-0.0013020892,0.5635114,0.0,0.0,0.0,-1.0
2615128000,2615128000,-0.0066519286,0.00400183,0.0001239328,0.61691314,0.0,0.0,0.0,-1.0
2615224000,2615224000,-0.003702864,0.0040852423,-0.0006777779,0.60235447,0.0,0.0,0.0,-1.0
2615328000,2615328000,0.0008830773,0.00044702087,-0.0010011885,0.61206466,0.0,0.0,0.0,-1.0
2615424000,2615424000,0.0043001166,-0.0015109952,0.0003605634,0.6171997,0.0,0.0,0.0,-1.0
2615528000,2615528000,0.0029885853,-0.0022044834,-0.00076770055,0.6149304,0.0,0.0,0.0,-1.0
2615628000,2615628000,0.0021544113,-3.5585836e-06,-0.0002673072,0.6145375,0.0,0.0,0.0,-1.0
2615728000,2615728000,0.0004947465,5.1972456e-06,-0.0015112784,0.6166156,0.0,0.0,0.0,-1.0
2615824000,2615824000,-0.00051150005,-0.002897048,-0.00025470016,0.6233436,0.0,0.0,0.0,-1.0
2615928000,2615928000,-0.0011406927,-0.00034396863,0.0013588616,0.6238805,0.0,0.0,0.0,-1.0
2616028000,2616028000,0.00015283981,0.0017428509,0.00032136517,0.6245607,0.0,0.0,0.0,-1.0
2616128000,2616128000,0.0031926257,0.0017482629,-8.763363e-05,0.6246548,0.0,0.0,0.0,-1.0
2616228000,2616228000,-0.0018770476,0.00023226475,0.0015426684,0.62479514,0.0,0.0,0.0,-1.0
2616328000,2616328000,-0.00094309775,-0.0017936253,-0.0004561577,0.63443726,0.0,0.0,0.0,-1.0
2616428000,2616428000,-0.0033481014,-0.0019257601,0.00023889673,0.5465899,0.0,0.0,0.0,-1.0
2616524000,2616524000,0.0002992449,0.004875455,0.0006922404,0.51669997,0.0,0.0,0.0,-1.0
2616628000,2616628000,-0.0032617033,-8.1081e-05,0.00016882189,0.55660594,0.0,0.0,0.0,-1.0
2616728000,2616728000,0.0018192154,0.0021940595,0.00044867015,0.5538151,0.0,0.0,0.0,-1.0
2616828000,2616828000,-0.00066115893,0.00027601357,-0.0010004427,0.5520746,0.0,0.0,0.0,-1.0
2616924000,2616924000,-0.0033837995,-0.00027519942,-0.00058004213,0.553916,0.0,0.0,0.0,-1.0
2617024000,2617024000,-0.0007517813,0.0028417036,-2.2120566e-05,0.55147845,0.0,0.0,0.0,1.0
