timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
2613228000,0.9767562,-0.00021695746,-0.0012320925,0.21434994,0.9999883,2.3283067e-10,-8.73115e-10,-0.0048457985,5
2613276000,0.9767661,-0.00022901695,-0.0011947632,0.21430457,0.9999883,2.3283067e-10,-8.73115e-10,-0.0048457985,5
2613332000,0.9767609,-0.00015743246,-0.0011935511,0.21432842,0.9999883,2.3283067e-10,-8.73115e-10,-0.0048457985,5
2613380000,0.97674763,-0.00018808138,-0.0012182012,0.21438865,0.9999883,2.3283067e-10,-8.73115e-10,-0.0048457985,5
2613436000,0.9767501,-0.00016513388,-0.0012596896,0.21437782,0.9999883,2.3283067e-10,-8.73115e-10,-0.0048457985,5
2613488000,0.9767635,-0.00015762074,-0.001240143,0.21431646,0.9999883,2.3283067e-10,-8.73115e-10,-0.0048457985,5
2613536000,0.97676253,-0.0001624564,-0.0012381003,0.21432085,0.9999883,2.3283067e-10,-8.73115e-10,-0.0048457985,5
2613588000,0.97675097,-0.0001346051,-0.0012378074,0.2143736,0.9999883,2.3283067e-10,-8.73115e-10,-0.0048457985,5
2613640000,0.9767543,-0.00012256173,-0.0012372736,0.21435827,0.9999883,2.3283067e-10,-8.73115e-10,-0.0048457985,5
2613692000,0.97675157,-7.844121e-05,-0.0012240683,0.21437131,0.9999883,2.3283067e-10,-8.73115e-10,-0.0048457985,5
2613748000,0.9767521,-5.8156067e-05,-0.0011975148,0.21436864,0.9999883,2.3283067e-10,-8.73115e-10,-0.0048457985,5
2613796000,0.97675234,-0.00014068135,-0.0012042123,0.21436797,0.9999883,2.3283067e-10,-8.73115e-10,-0.0048457985,5
2613848000,0.97676694,-0.00018238663,-0.0011176225,0.21430162,0.9999883,2.3283067e-10,-8.73115e-10,-0.0048457985,5
