timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
2612364000,0.0,0.0,29.0,4.0,4.0,0.0,0.0,176,1,0,255,190,1,1
2612372000,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,2003,1,1,1,1,0,0
2613216000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,1,255,190,0,1
2690660000,0.0,0.0,1.0,10.0,-1.0,0.0,0.0,178,1,1,1,1,0,0
2994908000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1,1,1,1,0,0
2994964000,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,2003,1,1,1,1,0,0
3211280000,0.0,0.0,0.0,2.0,50.0,nan,-0.09783434,0,1,1,1,1,0,0
