timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
9232328000,-0.9779722,0.0026312624,0.0009388515,-0.20871624,0.9999987,2.9103833e-10,4.947652e-10,0.0016565325,9
9232380000,-0.97797215,0.0025961315,0.0009907605,-0.20871717,0.9999987,2.9103833e-10,4.947652e-10,0.0016565325,9
9232428000,-0.9779706,0.0026329586,0.0009819154,-0.20872398,0.9999987,2.9103833e-10,4.947652e-10,0.0016565325,9
9232480000,-0.977968,0.0026761263,0.0009782932,-0.20873581,0.9999987,2.9103833e-10,4.947652e-10,0.0016565325,9
9232532000,-0.97796595,0.0027151823,0.00093852595,-0.20874453,0.9999987,2.9103833e-10,4.947652e-10,0.0016565325,9
9232584000,-0.9779626,0.0026825215,0.0010108162,-0.20876051,0.9999987,2.9103833e-10,4.947652e-10,0.0016565325,9
9232636000,-0.97796977,0.0026539285,0.0011081808,-0.20872678,0.9999987,2.9103833e-10,4.947652e-10,0.0016565325,9
9232688000,-0.97798103,0.0026679866,0.0010667602,-0.2086745,0.9999987,2.9103833e-10,4.947652e-10,0.0016565325,9
9232740000,-0.9780044,0.0025905613,0.0010671637,-0.20856583,0.9999987,2.9103833e-10,4.947652e-10,0.0016565325,9
9232792000,-0.9780079,0.002622291,0.0010283265,-0.2085491,0.9999987,2.9103833e-10,4.947652e-10,0.0016565325,9
9232844000,-0.9780001,0.0026136844,0.0010270352,-0.20858546,0.9999987,2.9103833e-10,4.947652e-10,0.0016565325,9
9232896000,-0.9779849,0.002559213,0.0009685057,-0.20865767,0.9999987,2.9103833e-10,4.947652e-10,0.0016565325,9
9232948000,-0.9779933,0.0025766308,0.0010535397,-0.208618,0.9999987,2.9103833e-10,4.947652e-10,0.0016565325,9
9233000000,-0.9780032,0.0026185012,0.001081598,-0.20857058,0.9999987,2.9103833e-10,4.947652e-10,0.0016565325,9
9233052000,-0.97800344,0.0025621078,0.0011013969,-0.20857026,0.9999987,2.9103833e-10,4.947652e-10,0.0016565325,9
9233104000,-0.97799814,0.002607236,0.0011316487,-0.20859441,0.9999987,2.9103833e-10,4.947652e-10,0.0016565325,9
9233160000,-0.9779875,0.002647397,0.0011324713,-0.2086438,0.9999987,2.9103833e-10,4.947652e-10,0.0016565325,9
9233208000,-0.9779858,0.0026718217,0.0011558885,-0.20865159,0.9999987,2.9103833e-10,4.947652e-10,0.0016565325,9
9233260000,-0.9779925,0.0025956994,0.0011601557,-0.20862071,0.9999987,2.9103833e-10,4.947652e-10,0.0016565325,9
9233312000,-0.97799426,0.0025197584,0.0011925399,-0.20861351,0.9999987,2.9103833e-10,4.947652e-10,0.0016565325,9
9233368000,-0.97799474,0.002524634,0.0011625255,-0.20861134,0.9999987,2.9103833e-10,4.947652e-10,0.0016565325,9
9233416000,-0.9780088,0.0025502269,0.0012059337,-0.2085444,0.9999987,2.9103833e-10,4.947652e-10,0.0016565325,9
9233468000,-0.9780154,0.0024995408,0.001271799,-0.20851406,0.9999987,2.9103833e-10,4.947652e-10,0.0016565325,9
9233520000,-0.9780224,0.0024938295,0.0012644565,-0.20848131,0.9999987,2.9103833e-10,4.947652e-10,0.0016565325,9
9233576000,-0.97802025,0.0024172575,0.001305449,-0.2084923,0.9999987,2.9103833e-10,4.947652e-10,0.0016565325,9
9233624000,-0.9780067,0.0024298104,0.0012885962,-0.20855536,0.9999987,2.9103833e-10,4.947652e-10,0.0016565325,9
9233676000,-0.9779987,0.0023468477,0.0012918436,-0.20859407,0.9999987,2.9103833e-10,4.947652e-10,0.0016565325,9
