timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
9232328000,0.2,-0.077000014,0.42600003
9232332000,0.2,-0.077000014,0.42600003
9232336000,0.2,-0.07900001,0.42900002
9232340000,0.2,-0.07900001,0.42900002
9232344000,0.2,-0.07900001,0.42900002
9232352000,0.2,-0.07900001,0.42900002
9232356000,0.2,-0.07900001,0.42900002
9232360000,0.2,-0.07900001,0.42900002
9232364000,0.2,-0.07900001,0.42900002
9232372000,0.2,-0.07900001,0.42900002
9232380000,0.2,-0.07900001,0.42900002
9232384000,0.2,-0.07900001,0.42900002
9232392000,0.19900002,-0.07800001,0.43100002
9232396000,0.19900002,-0.07800001,0.43100002
9232400000,0.19900002,-0.07800001,0.43100002
9232404000,0.19900002,-0.07800001,0.43100002
9232408000,0.19900002,-0.07800001,0.43100002
9232416000,0.19900002,-0.07800001,0.43100002
9232420000,0.19900002,-0.07800001,0.43100002
9232428000,0.19900002,-0.07800001,0.43100002
9232432000,0.19900002,-0.07800001,0.43100002
9232436000,0.19900002,-0.07800001,0.43100002
9232440000,0.20300001,-0.077000014,0.43100002
9232444000,0.20300001,-0.077000014,0.43100002
9232448000,0.20300001,-0.077000014,0.43100002
9232452000,0.20300001,-0.077000014,0.43100002
9232456000,0.20300001,-0.077000014,0.43100002
9232460000,0.20300001,-0.077000014,0.43100002
9232464000,0.20300001,-0.077000014,0.43100002
9232468000,0.20300001,-0.077000014,0.43100002
9232472000,0.20300001,-0.077000014,0.43100002
9232480000,0.20300001,-0.077000014,0.43100002
9232484000,0.20300001,-0.077000014,0.43100002
9232488000,0.20300001,-0.077000014,0.43100002
9232492000,0.20400001,-0.07900001,0.43300003
9232500000,0.20400001,-0.07900001,0.43300003
9232504000,0.20400001,-0.07900001,0.43300003
9232508000,0.20400001,-0.07900001,0.43300003
9232512000,0.20400001,-0.07900001,0.43300003
9232516000,0.20400001,-0.07900001,0.43300003
9232520000,0.20400001,-0.07900001,0.43300003
9232524000,0.20400001,-0.07900001,0.43300003
9232532000,0.20400001,-0.07900001,0.43300003
9232536000,0.20400001,-0.07900001,0.43300003
9232544000,0.19800001,-0.08000001,0.43
9232548000,0.19800001,-0.08000001,0.43
9232556000,0.19800001,-0.08000001,0.43
9232560000,0.19800001,-0.08000001,0.43
9232568000,0.19800001,-0.08000001,0.43
9232572000,0.19800001,-0.08000001,0.43
9232580000,0.19800001,-0.08000001,0.43
9232584000,0.19800001,-0.08000001,0.43
9232588000,0.19800001,-0.08000001,0.43
9232592000,0.19800001,-0.08000001,0.43
9232596000,0.2,-0.08300001,0.42900002
9232604000,0.2,-0.08300001,0.42900002
9232608000,0.2,-0.08300001,0.42900002
9232612000,0.2,-0.08300001,0.42900002
9232616000,0.2,-0.08300001,0.42900002
9232620000,0.2,-0.08300001,0.42900002
9232624000,0.2,-0.08300001,0.42900002
9232628000,0.2,-0.08300001,0.42900002
9232636000,0.2,-0.08300001,0.42900002
9232644000,0.2,-0.08300001,0.42900002
9232648000,0.201,-0.077000014,0.42900002
9232656000,0.201,-0.077000014,0.42900002
9232660000,0.201,-0.077000014,0.42900002
9232664000,0.201,-0.077000014,0.42900002
9232668000,0.201,-0.077000014,0.42900002
9232676000,0.201,-0.077000014,0.42900002
9232680000,0.201,-0.077000014,0.42900002
9232684000,0.201,-0.077000014,0.42900002
9232692000,0.201,-0.077000014,0.42900002
9232696000,0.201,-0.077000014,0.42900002
9232700000,0.19900002,-0.07900001,0.42900002
9232708000,0.19900002,-0.07900001,0.42900002
9232712000,0.19900002,-0.07900001,0.42900002
9232720000,0.19900002,-0.07900001,0.42900002
9232724000,0.19900002,-0.07900001,0.42900002
9232728000,0.19900002,-0.07900001,0.42900002
9232736000,0.19900002,-0.07900001,0.42900002
9232740000,0.19900002,-0.07900001,0.42900002
9232748000,0.19900002,-0.07900001,0.42900002
9232752000,0.201,-0.08100001,0.42700002
9232760000,0.201,-0.08100001,0.42700002
9232764000,0.201,-0.08100001,0.42700002
9232768000,0.201,-0.08100001,0.42700002
9232772000,0.201,-0.08100001,0.42700002
9232776000,0.201,-0.08100001,0.42700002
9232780000,0.201,-0.08100001,0.42700002
9232784000,0.201,-0.08100001,0.42700002
9232788000,0.201,-0.08100001,0.42700002
9232792000,0.201,-0.08100001,0.42700002
9232796000,0.201,-0.08100001,0.42700002
9232800000,0.201,-0.08100001,0.42700002
9232808000,0.202,-0.08000001,0.42900002
9232812000,0.202,-0.08000001,0.42900002
9232816000,0.202,-0.08000001,0.42900002
9232820000,0.202,-0.08000001,0.42900002
9232824000,0.202,-0.08000001,0.42900002
9232828000,0.202,-0.08000001,0.42900002
9232836000,0.202,-0.08000001,0.42900002
9232840000,0.202,-0.08000001,0.42900002
9232844000,0.202,-0.08000001,0.42900002
9232848000,0.202,-0.08000001,0.42900002
9232856000,0.19900002,-0.08200001,0.43100002
9232860000,0.19900002,-0.08200001,0.43100002
9232868000,0.19900002,-0.08200001,0.43100002
9232872000,0.19900002,-0.08200001,0.43100002
9232876000,0.19900002,-0.08200001,0.43100002
9232880000,0.19900002,-0.08200001,0.43100002
9232888000,0.19900002,-0.08200001,0.43100002
9232892000,0.19900002,-0.08200001,0.43100002
9232896000,0.19900002,-0.08200001,0.43100002
9232904000,0.19900002,-0.08200001,0.43100002
9232908000,0.201,-0.07900001,0.42700002
9232916000,0.201,-0.07900001,0.42700002
9232920000,0.201,-0.07900001,0.42700002
9232924000,0.201,-0.07900001,0.42700002
9232928000,0.201,-0.07900001,0.42700002
9232932000,0.201,-0.07900001,0.42700002
9232940000,0.201,-0.07900001,0.42700002
9232944000,0.201,-0.07900001,0.42700002
9232948000,0.201,-0.07900001,0.42700002
9232952000,0.201,-0.07900001,0.42700002
9232956000,0.201,-0.07900001,0.42700002
9232960000,0.2,-0.07900001,0.42800003
9232968000,0.2,-0.07900001,0.42800003
9232976000,0.2,-0.07900001,0.42800003
9232980000,0.2,-0.07900001,0.42800003
9232984000,0.2,-0.07900001,0.42800003
9232992000,0.2,-0.07900001,0.42800003
9232996000,0.2,-0.07900001,0.42800003
9233004000,0.2,-0.07900001,0.42800003
9233008000,0.2,-0.07900001,0.42800003
9233012000,0.202,-0.077000014,0.43100002
9233016000,0.202,-0.077000014,0.43100002
9233024000,0.202,-0.077000014,0.43100002
9233032000,0.202,-0.077000014,0.43100002
9233040000,0.202,-0.077000014,0.43100002
9233048000,0.202,-0.077000014,0.43100002
9233052000,0.202,-0.077000014,0.43100002
9233056000,0.202,-0.077000014,0.43100002
9233060000,0.202,-0.077000014,0.43100002
9233064000,0.2,-0.077000014,0.43100002
9233072000,0.2,-0.077000014,0.43100002
9233076000,0.2,-0.077000014,0.43100002
9233080000,0.2,-0.077000014,0.43100002
9233088000,0.2,-0.077000014,0.43100002
9233096000,0.2,-0.077000014,0.43100002
9233100000,0.2,-0.077000014,0.43100002
9233104000,0.2,-0.077000014,0.43100002
9233108000,0.2,-0.077000014,0.43100002
9233116000,0.20400001,-0.08000001,0.42800003
9233120000,0.20400001,-0.08000001,0.42800003
9233124000,0.20400001,-0.08000001,0.42800003
9233132000,0.20400001,-0.08000001,0.42800003
9233136000,0.20400001,-0.08000001,0.42800003
9233140000,0.20400001,-0.08000001,0.42800003
9233144000,0.20400001,-0.08000001,0.42800003
9233152000,0.20400001,-0.08000001,0.42800003
9233156000,0.20400001,-0.08000001,0.42800003
9233160000,0.20400001,-0.08000001,0.42800003
9233164000,0.20400001,-0.08000001,0.42800003
9233172000,0.202,-0.08000001,0.42900002
9233176000,0.202,-0.08000001,0.42900002
9233180000,0.202,-0.08000001,0.42900002
9233184000,0.202,-0.08000001,0.42900002
9233192000,0.202,-0.08000001,0.42900002
9233196000,0.202,-0.08000001,0.42900002
9233200000,0.202,-0.08000001,0.42900002
9233204000,0.202,-0.08000001,0.42900002
9233208000,0.202,-0.08000001,0.42900002
9233212000,0.202,-0.08000001,0.42900002
9233220000,0.19900002,-0.08200001,0.432
9233228000,0.19900002,-0.08200001,0.432
9233232000,0.19900002,-0.08200001,0.432
9233240000,0.19900002,-0.08200001,0.432
9233244000,0.19900002,-0.08200001,0.432
9233248000,0.19900002,-0.08200001,0.432
9233252000,0.19900002,-0.08200001,0.432
9233256000,0.19900002,-0.08200001,0.432
9233260000,0.19900002,-0.08200001,0.432
9233268000,0.19900002,-0.08200001,0.432
9233272000,0.19800001,-0.08100001,0.42800003
9233276000,0.19800001,-0.08100001,0.42800003
9233280000,0.19800001,-0.08100001,0.42800003
9233288000,0.19800001,-0.08100001,0.42800003
9233292000,0.19800001,-0.08100001,0.42800003
9233296000,0.19800001,-0.08100001,0.42800003
9233300000,0.19800001,-0.08100001,0.42800003
9233308000,0.19800001,-0.08100001,0.42800003
9233316000,0.19800001,-0.08100001,0.42800003
9233324000,0.19800001,-0.07800001,0.42600003
9233332000,0.19800001,-0.07800001,0.42600003
9233336000,0.19800001,-0.07800001,0.42600003
9233344000,0.19800001,-0.07800001,0.42600003
9233348000,0.19800001,-0.07800001,0.42600003
9233356000,0.19800001,-0.07800001,0.42600003
9233360000,0.19800001,-0.07800001,0.42600003
9233364000,0.19800001,-0.07800001,0.42600003
9233368000,0.19800001,-0.07800001,0.42600003
9233376000,0.19900002,-0.08100001,0.42800003
9233384000,0.19900002,-0.08100001,0.42800003
9233388000,0.19900002,-0.08100001,0.42800003
9233392000,0.19900002,-0.08100001,0.42800003
9233396000,0.19900002,-0.08100001,0.42800003
9233400000,0.19900002,-0.08100001,0.42800003
9233404000,0.19900002,-0.08100001,0.42800003
9233412000,0.19900002,-0.08100001,0.42800003
9233416000,0.19900002,-0.08100001,0.42800003
9233424000,0.19900002,-0.08100001,0.42800003
9233428000,0.20400001,-0.07900001,0.42800003
9233436000,0.20400001,-0.07900001,0.42800003
9233440000,0.20400001,-0.07900001,0.42800003
9233444000,0.20400001,-0.07900001,0.42800003
9233448000,0.20400001,-0.07900001,0.42800003
9233452000,0.20400001,-0.07900001,0.42800003
9233456000,0.20400001,-0.07900001,0.42800003
9233464000,0.20400001,-0.07900001,0.42800003
9233468000,0.20400001,-0.07900001,0.42800003
9233472000,0.20400001,-0.07900001,0.42800003
9233480000,0.19900002,-0.07900001,0.42800003
9233484000,0.19900002,-0.07900001,0.42800003
9233488000,0.19900002,-0.07900001,0.42800003
9233492000,0.19900002,-0.07900001,0.42800003
9233496000,0.19900002,-0.07900001,0.42800003
9233500000,0.19900002,-0.07900001,0.42800003
9233508000,0.19900002,-0.07900001,0.42800003
9233512000,0.19900002,-0.07900001,0.42800003
9233516000,0.19900002,-0.07900001,0.42800003
9233520000,0.19900002,-0.07900001,0.42800003
9233528000,0.19900002,-0.07900001,0.42800003
9233532000,0.20300001,-0.08200001,0.42600003
9233540000,0.20300001,-0.08200001,0.42600003
9233544000,0.20300001,-0.08200001,0.42600003
9233552000,0.20300001,-0.08200001,0.42600003
9233556000,0.20300001,-0.08200001,0.42600003
9233560000,0.20300001,-0.08200001,0.42600003
9233564000,0.20300001,-0.08200001,0.42600003
9233568000,0.20300001,-0.08200001,0.42600003
9233576000,0.20300001,-0.08200001,0.42600003
9233580000,0.20300001,-0.08200001,0.42600003
9233584000,0.19700001,-0.07800001,0.43100002
9233588000,0.19700001,-0.07800001,0.43100002
9233592000,0.19700001,-0.07800001,0.43100002
9233596000,0.19700001,-0.07800001,0.43100002
9233600000,0.19700001,-0.07800001,0.43100002
9233604000,0.19700001,-0.07800001,0.43100002
9233608000,0.19700001,-0.07800001,0.43100002
9233616000,0.19700001,-0.07800001,0.43100002
9233620000,0.19700001,-0.07800001,0.43100002
9233624000,0.19700001,-0.07800001,0.43100002
9233628000,0.19700001,-0.07800001,0.43100002
9233636000,0.201,-0.07800001,0.42800003
9233640000,0.201,-0.07800001,0.42800003
9233644000,0.201,-0.07800001,0.42800003
9233648000,0.201,-0.07800001,0.42800003
9233652000,0.201,-0.07800001,0.42800003
9233656000,0.201,-0.07800001,0.42800003
9233660000,0.201,-0.07800001,0.42800003
9233664000,0.201,-0.07800001,0.42800003
9233668000,0.201,-0.07800001,0.42800003
9233676000,0.201,-0.07800001,0.42800003
9233684000,0.201,-0.07800001,0.42800003
9233688000,0.202,-0.07900001,0.42800003
9233692000,0.202,-0.07900001,0.42800003
9233700000,0.202,-0.07900001,0.42800003
9233704000,0.202,-0.07900001,0.42800003
9233708000,0.202,-0.07900001,0.42800003
9233716000,0.202,-0.07900001,0.42800003
9233720000,0.202,-0.07900001,0.42800003
9233728000,0.202,-0.07900001,0.42800003
9233732000,0.202,-0.07900001,0.42800003
9233740000,0.19800001,-0.08000001,0.42600003
9233744000,0.19800001,-0.08000001,0.42600003
9233748000,0.19800001,-0.08000001,0.42600003
9233752000,0.19800001,-0.08000001,0.42600003
9233756000,0.19800001,-0.08000001,0.42600003
9233760000,0.19800001,-0.08000001,0.42600003
9233764000,0.19800001,-0.08000001,0.42600003
9233768000,0.19800001,-0.08000001,0.42600003
9233772000,0.19800001,-0.08000001,0.42600003
9233776000,0.19800001,-0.08000001,0.42600003
9233784000,0.19800001,-0.08000001,0.42600003
9233788000,0.19800001,-0.08000001,0.42600003
9233792000,0.19900002,-0.08000001,0.42900002
9233800000,0.19900002,-0.08000001,0.42900002
9233804000,0.19900002,-0.08000001,0.42900002
9233808000,0.19900002,-0.08000001,0.42900002
9233816000,0.19900002,-0.08000001,0.42900002
9233820000,0.19900002,-0.08000001,0.42900002
9233824000,0.19900002,-0.08000001,0.42900002
9233828000,0.19900002,-0.08000001,0.42900002
9233832000,0.19900002,-0.08000001,0.42900002
9233836000,0.19900002,-0.08000001,0.42900002
9233840000,0.19900002,-0.08000001,0.42900002
9233844000,0.202,-0.07900001,0.42900002
9233852000,0.202,-0.07900001,0.42900002
9233856000,0.202,-0.07900001,0.42900002
9233860000,0.202,-0.07900001,0.42900002
9233864000,0.202,-0.07900001,0.42900002
9233868000,0.202,-0.07900001,0.42900002
9233872000,0.202,-0.07900001,0.42900002
9233880000,0.202,-0.07900001,0.42900002
9233884000,0.202,-0.07900001,0.42900002
9233888000,0.202,-0.07900001,0.42900002
9233896000,0.19800001,-0.07800001,0.42900002
9233900000,0.19800001,-0.07800001,0.42900002
9233908000,0.19800001,-0.07800001,0.42900002
9233912000,0.19800001,-0.07800001,0.42900002
9233916000,0.19800001,-0.07800001,0.42900002
9233920000,0.19800001,-0.07800001,0.42900002
9233928000,0.19800001,-0.07800001,0.42900002
9233932000,0.19800001,-0.07800001,0.42900002
9233936000,0.19800001,-0.07800001,0.42900002
9233940000,0.19800001,-0.07800001,0.42900002
9233944000,0.19800001,-0.07800001,0.42900002
9233948000,0.19900002,-0.07400001,0.43300003
9233952000,0.19900002,-0.07400001,0.43300003
9233960000,0.19900002,-0.07400001,0.43300003
9233964000,0.19900002,-0.07400001,0.43300003
9233972000,0.19900002,-0.07400001,0.43300003
9233980000,0.19900002,-0.07400001,0.43300003
9233984000,0.19900002,-0.07400001,0.43300003
9233992000,0.19900002,-0.07400001,0.43300003
9233996000,0.19900002,-0.07400001,0.43300003
9234000000,0.201,-0.07900001,0.42900002
9234004000,0.201,-0.07900001,0.42900002
9234008000,0.201,-0.07900001,0.42900002
9234016000,0.201,-0.07900001,0.42900002
9234020000,0.201,-0.07900001,0.42900002
9234024000,0.201,-0.07900001,0.42900002
9234028000,0.201,-0.07900001,0.42900002
9234032000,0.201,-0.07900001,0.42900002
9234036000,0.201,-0.07900001,0.42900002
9234040000,0.201,-0.07900001,0.42900002
9234044000,0.201,-0.07900001,0.42900002
9234052000,0.19900002,-0.08200001,0.42900002
9234056000,0.19900002,-0.08200001,0.42900002
9234060000,0.19900002,-0.08200001,0.42900002
9234064000,0.19900002,-0.08200001,0.42900002
9234072000,0.19900002,-0.08200001,0.42900002
9234080000,0.19900002,-0.08200001,0.42900002
9234088000,0.19900002,-0.08200001,0.42900002
9234092000,0.19900002,-0.08200001,0.42900002
9234096000,0.19900002,-0.08200001,0.42900002
9234104000,0.19900002,-0.07900001,0.43
9234112000,0.2,-0.07900001,0.43
9234116000,0.2,-0.07900001,0.43
9234124000,0.2,-0.07900001,0.43
9234128000,0.2,-0.07900001,0.43
9234132000,0.2,-0.07800001,0.43
9234136000,0.2,-0.07800001,0.43
9234140000,0.2,-0.07800001,0.43
9234148000,0.201,-0.07800001,0.43
9234152000,0.201,-0.077000014,0.43
9234156000,0.20300001,-0.07900001,0.42700002
9234164000,0.20400001,-0.07900001,0.42700002
9234172000,0.20400001,-0.07800001,0.42700002
9234176000,0.20400001,-0.07800001,0.42600003
9234180000,0.20400001,-0.07800001,0.42600003
9234184000,0.20500001,-0.07800001,0.42600003
9234192000,0.20500001,-0.077000014,0.42600003
9234200000,0.20500001,-0.077000014,0.42600003
9234208000,0.20500001,-0.073000014,0.42900002
9234212000,0.20500001,-0.073000014,0.42900002
9234220000,0.20600002,-0.073000014,0.42900002
9234224000,0.20600002,-0.07200001,0.42900002
9234228000,0.20600002,-0.07200001,0.42900002
9234232000,0.20600002,-0.07200001,0.42900002
9234236000,0.20600002,-0.07200001,0.42900002
9234240000,0.20600002,-0.07200001,0.42900002
9234244000,0.20600002,-0.07200001,0.42900002
9234252000,0.20700002,-0.07200001,0.42900002
9234256000,0.20700002,-0.07200001,0.42900002
9234264000,0.20700002,-0.07400001,0.432
9234268000,0.20700002,-0.073000014,0.432
9234276000,0.20700002,-0.073000014,0.432
9234280000,0.20700002,-0.073000014,0.432
9234288000,0.20700002,-0.073000014,0.432
9234292000,0.20700002,-0.073000014,0.432
9234296000,0.20700002,-0.073000014,0.432
9234300000,0.20700002,-0.073000014,0.432
9234304000,0.20700002,-0.073000014,0.432
9234312000,0.208,-0.07100001,0.42900002
9234316000,0.208,-0.07100001,0.42900002
9234324000,0.208,-0.07100001,0.42900002
9234328000,0.208,-0.07100001,0.42900002
9234332000,0.208,-0.07100001,0.42900002
9234340000,0.208,-0.07100001,0.42900002
9234344000,0.208,-0.07100001,0.42900002
9234348000,0.208,-0.07100001,0.42900002
9234352000,0.208,-0.07100001,0.42900002
9234360000,0.208,-0.07200001,0.42900002
9234364000,0.20600002,-0.07500001,0.42400002
9234368000,0.20600002,-0.07500001,0.42400002
9234372000,0.20600002,-0.07500001,0.42400002
9234376000,0.20600002,-0.07500001,0.42400002
9234380000,0.20600002,-0.07500001,0.42400002
9234388000,0.20600002,-0.07500001,0.42400002
9234396000,0.20600002,-0.07600001,0.42400002
9234400000,0.20600002,-0.07600001,0.42400002
9234404000,0.20600002,-0.07600001,0.42400002
9234408000,0.20600002,-0.07600001,0.42400002
