timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
9233360000,9233360000,-0.0041916603,-0.00092700403,-0.001232771
9233368000,9233368000,-0.0041825166,0.0013585435,-0.0014484033
9233384000,9233384000,-0.0017166868,-0.0024035503,-0.0028752626
9233396000,9233396000,-7.809431e-05,-0.0014485316,-0.0016289668
9233408000,9233408000,-0.00085291313,0.001039709,-0.0025554188
9233420000,9233420000,-0.0031197073,0.0014312486,-0.0026428425
9233432000,9233432000,-0.0007949616,-0.0024974574,-0.0043434976
9233444000,9233444000,0.004623012,-0.00538878,-0.0012865085
9233456000,9233456000,-9.0445974e-05,-0.0009963862,0.0044755745
9233468000,9233468000,-0.0008910382,-0.0030097049,-0.0024991862
9233480000,9233480000,0.0015849613,-0.000859065,0.0016454159
9233492000,9233492000,0.0012918538,-0.0020882976,0.0014892963
9233500000,9233500000,0.0013949871,0.0025547617,-0.0052574053
9233516000,9233516000,-0.0020029114,0.001194064,-0.0005543328
9233528000,9233528000,-0.0028702437,-0.002361258,-0.004634103
9233540000,9233540000,0.000981012,-0.0049270573,-0.00090146484
9233552000,9233552000,0.00095899316,0.00057867216,0.003849381
9233564000,9233564000,0.0049448824,-0.0022235904,-0.0008491612
9233576000,9233576000,0.0028048272,0.00019249553,0.0014708247
9233588000,9233588000,4.812714e-05,0.0021244888,0.0037271776
9233596000,9233596000,0.0016752393,-0.0012962227,0.001357249
9233608000,9233608000,0.0023041423,0.0010895547,0.0064785536
9233620000,9233620000,-0.004038614,0.001828386,0.002255309
9233636000,9233636000,-0.0024512473,-0.0026638363,-0.0007046378
9233644000,9233644000,0.004375655,-0.001191216,0.00029916872
9233660000,9233660000,0.0032848315,0.0038629598,0.0007475577
9233668000,9233668000,1.2533274e-06,-0.0011258884,0.00018671615
9233684000,9233684000,0.0044507077,-0.004978869,0.0010169973
9233696000,9233696000,-0.00032580295,-0.0020867921,-0.002631149
9233708000,9233708000,0.0014388958,0.0023958962,-0.0031819683
9233720000,9233720000,0.001281058,-0.0014891312,0.002023689
9233732000,9233732000,-0.0003991773,0.003981231,0.0037421552
9233744000,9233744000,-0.00036559487,-0.00011142157,0.002313612
9233756000,9233756000,-0.0050226874,-0.00052556535,0.00039906334
9233768000,9233768000,-0.0016995701,-0.005511629,-0.0012080038
9233780000,9233780000,-0.0044682035,0.0037049865,-0.00482032
9233788000,9233788000,-0.0009683032,0.0039530676,-0.0015648291
9233804000,9233804000,0.0067458274,0.00073771086,-0.0030079756
9233816000,9233816000,0.0010741805,0.0023535076,-0.0040745717
9233828000,9233828000,-0.003603959,-0.0013171476,0.0010698336
9233836000,9233836000,0.0022339518,0.0029460136,0.0035377291
9233848000,9233848000,0.005989263,0.0031403906,-0.0015572361
9233864000,9233864000,0.0039031138,-0.0035960372,0.0019032671
9233876000,9233876000,0.0015745747,-0.006934763,0.0035574539
9233888000,9233888000,0.0009200171,-0.00081891473,-0.0016593927
9233900000,9233900000,-0.0027592396,-0.00061528664,-0.0011064578
9233912000,9233912000,-0.0005652312,0.0032956186,-0.0014791384
9233924000,9233924000,-0.0033617457,0.0029436965,-0.0005724234
9233936000,9233936000,-0.00075616746,0.0027166256,-0.003208686
9233948000,9233948000,6.7429966e-05,0.0020838077,-0.004780016
9233960000,9233960000,-0.00080714724,-0.003372328,-0.0023481683
9233972000,9233972000,0.0038499315,-0.004426132,0.002468442
9233984000,9233984000,-0.0009847017,-0.0015026396,-0.0044029662
9233992000,9233992000,0.00021401205,0.0025802907,-0.003926575
9234008000,9234008000,0.0033055362,0.0021761432,0.0012631854
9234020000,9234020000,-0.00076232373,0.001788402,0.00023103983
9234032000,9234032000,0.0026618931,-0.0027164202,0.00017995603
9234044000,9234044000,-0.001263145,-0.0042210715,-0.0056818943
9234052000,9234052000,-0.0010385542,-0.0024483055,-0.0044743004
9234064000,9234064000,0.003107232,0.0027901344,-0.0035993294
9234080000,9234080000,0.004737596,-9.8144636e-05,0.003969728
9234092000,9234092000,0.007914312,0.0010217237,-0.004891941
