timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,thrust[0],thrust[1],thrust[2]
687488000,0.21445175,-0.15026803,-0.00816957,0.40883675,nan,-0.016573165,-0.01799419,-0.01370845,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
687676000,0.21370813,-0.15107535,-0.019588204,0.40863538,nan,0.00037942082,0.0004119128,-0.15490872,0.0,0.0,-1.503065,0.0,0.0,-8.0,nan,nan,nan
687880000,0.21378101,-0.15099613,-0.093501315,0.40863538,nan,0.0003415197,0.00037073344,-0.62658143,0.0,0.0,-3.131448,0.0,0.0,-8.0,nan,nan,nan
688084000,0.21384676,-0.1509248,-0.2850235,0.40863538,nan,0.0003080517,0.00033441186,-1.2140026,0.0,0.0,-2.1391492,0.0,0.0,8.0,nan,nan,nan
688292000,0.21390706,-0.15085936,-0.5702312,0.40863538,nan,0.0002778992,0.0003016889,-1.4853796,0.0,0.0,-0.4836598,0.0,0.0,8.0,nan,nan,nan
688476000,0.21395539,-0.15080698,-0.8444152,0.40863538,nan,0.0002527386,0.00027441233,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
688684000,0.21400495,-0.15075316,-1.1554998,0.40863538,nan,0.00022797287,0.00024753064,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
688888000,0.21404885,-0.15070549,-1.4614998,0.40863538,nan,0.00020515174,0.00022275001,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
689076000,0.21408552,-0.15066569,-1.7434998,0.40863538,nan,0.00018686801,0.00020290166,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
689280000,0.21412148,-0.1506266,-2.0494998,0.40863538,nan,0.0001681745,0.00018258393,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
689484000,0.21415396,-0.15059133,-2.3554993,0.40863538,nan,0.00015162677,0.00016463548,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
689692000,0.21418375,-0.15055896,-2.6674988,0.40863538,nan,0.00013674796,0.00014843792,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
689876000,0.21420771,-0.15053305,-2.9434984,0.40863538,nan,0.00012427568,0.00013494492,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
690084000,0.2142321,-0.15050653,-3.255498,0.40863538,nan,0.00011207163,0.00012169033,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
690288000,0.21425371,-0.15048306,-3.5614974,0.40863538,nan,0.00010084361,0.00010949373,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
690476000,0.21427174,-0.1504635,-3.843497,0.40863538,nan,9.184331e-05,9.973347e-05,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
690680000,0.21428935,-0.15044433,-4.149498,0.40863538,nan,8.267909e-05,8.9764595e-05,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
690884000,0.21430527,-0.15042692,-4.4555,0.40863538,nan,7.458776e-05,8.0920756e-05,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
691092000,0.21431997,-0.15041095,-4.7675023,0.40863538,nan,6.724149e-05,7.292628e-05,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
691276000,0.21433179,-0.15039828,-5.043504,0.40863538,nan,6.109476e-05,6.632507e-05,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
691484000,0.21434389,-0.15038528,-5.3555064,0.40863538,nan,5.503744e-05,5.982071e-05,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
691688000,0.21435459,-0.15037377,-5.6615086,0.40863538,nan,4.9486756e-05,5.3837895e-05,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
691876000,0.21436346,-0.15036412,-5.9435105,0.40863538,nan,4.503876e-05,4.903227e-05,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
692080000,0.21437198,-0.1503546,-6.2495127,0.40863538,nan,4.0598214e-05,4.4085085e-05,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
692284000,0.21437962,-0.15034597,-6.555515,0.40863538,nan,3.670901e-05,3.9696693e-05,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
692492000,0.21438667,-0.15033808,-6.867517,0.40863538,nan,3.3192337e-05,3.5740435e-05,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
692676000,0.21439235,-0.15033193,-7.143519,0.40863538,nan,3.0234456e-05,3.2521784e-05,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
692884000,0.21439816,-0.15032567,-7.455521,0.40863538,nan,2.732873e-05,2.9399991e-05,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
693088000,0.2144033,-0.15032008,-7.7615232,0.40863538,nan,2.4653971e-05,2.6494265e-05,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
693276000,0.21440764,-0.15031542,-8.043525,0.40863538,nan,2.2500753e-05,2.4169683e-05,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
693484000,0.21441199,-0.15031077,-8.355523,0.40863538,nan,2.028048e-05,2.1800399e-05,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
693688000,0.21441583,-0.15030664,-8.661522,0.40863538,nan,1.8276274e-05,1.9654632e-05,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
693876000,0.21441904,-0.15030318,-8.943521,0.40863538,nan,1.668185e-05,1.7933547e-05,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
694080000,0.21442218,-0.15029979,-9.249519,0.40863538,nan,1.5050173e-05,1.616031e-05,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
694284000,0.21442504,-0.1502967,-9.555518,0.40863538,nan,1.3589859e-05,1.4595687e-05,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
694492000,0.21442768,-0.15029387,-9.8675165,0.40863538,nan,1.2271106e-05,1.3180077e-05,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan
694676000,0.2144298,-0.15029159,-10.142815,0.40863538,nan,1.1175871e-05,1.1995435e-05,-1.4765769,0.0,0.0,0.43962663,0.0,0.0,-8.0,nan,nan,nan
694884000,0.21443196,-0.15028927,-10.440209,0.40863538,nan,1.0088086e-05,1.0825694e-05,-1.3843524,0.0,0.0,0.36643142,0.0,0.0,-8.0,nan,nan,nan
695088000,0.21443388,-0.15028721,-10.713927,0.40863538,nan,9.097159e-06,9.760261e-06,-1.299918,0.0,0.0,0.37241623,0.0,0.0,-8.0,nan,nan,nan
695276000,0.21443547,-0.15028547,-10.951397,0.40863538,nan,8.299947e-06,8.895993e-06,-1.2269714,0.0,0.0,0.31667975,0.0,0.0,-8.0,nan,nan,nan
695480000,0.21443704,-0.15028375,-11.194013,0.40863538,nan,7.4878335e-06,8.009374e-06,-1.1522648,0.0,0.0,0.3260527,0.0,0.0,-8.0,nan,nan,nan
695684000,0.21443847,-0.15028222,-11.421885,0.40863538,nan,6.7576766e-06,7.227063e-06,-1.082594,0.0,0.0,0.31231624,0.0,0.0,-8.0,nan,nan,nan
695892000,0.2144398,-0.15028082,-11.640003,0.40863538,nan,6.0871243e-06,6.5118074e-06,-1.0154611,0.0,0.0,0.28627983,0.0,0.0,-8.0,nan,nan,nan
696080000,0.21444087,-0.15027967,-11.825515,0.40863538,nan,5.543232e-06,5.9381127e-06,-0.9586015,0.0,0.0,0.23236282,0.0,0.0,-8.0,nan,nan,nan
696284000,0.21444194,-0.15027854,-12.015085,0.40863538,nan,4.991889e-06,5.349517e-06,-0.9003798,0.0,0.0,0.24712706,0.0,0.0,-8.0,nan,nan,nan
696488000,0.21444288,-0.1502775,-12.19317,0.40863538,nan,4.515052e-06,4.8205256e-06,-0.8461807,0.0,0.0,0.24118939,0.0,0.0,-8.0,nan,nan,nan
