timestamp,instance_count,seq_reached,seq_current,seq_total,item_changed_index,item_do_jump_remaining,valid,warning,finished,failure,stay_in_failsafe,flight_termination,item_do_jump_changed,execution_mode
3150968000,22,0,1,45,0,0,1,1,0,0,0,0,0,0
3171728000,22,0,1,45,0,0,1,1,0,0,0,0,0,0
3171896000,22,1,2,45,0,0,1,1,0,0,0,0,0,0
3195744000,22,2,3,45,0,0,1,1,0,0,0,0,0,0
3195800000,22,3,4,45,0,0,1,1,0,0,0,0,0,0
3201120000,22,4,5,45,0,0,1,1,0,0,0,0,0,0
3201176000,22,5,6,45,0,0,1,1,0,0,0,0,0,0
3218644000,22,6,7,45,0,0,1,1,0,0,0,0,0,0
3221388000,22,7,8,45,0,0,1,1,0,0,0,0,0,0
3237488000,22,8,9,45,0,0,1,1,0,0,0,0,0,0
3243760000,22,9,10,45,0,0,1,1,0,0,0,0,0,0
3243816000,22,10,11,45,0,0,1,1,0,0,0,0,0,0
3276968000,22,11,12,45,0,0,1,1,0,0,0,0,0,0
3280216000,22,12,13,45,0,0,1,1,0,0,0,0,0,0
3288116000,22,13,14,45,0,0,1,1,0,0,0,0,0,0
3293488000,22,14,15,45,0,0,1,1,0,0,0,0,0,0
3293544000,22,15,16,45,0,0,1,1,0,0,0,0,0,0
3329768000,22,16,17,45,0,0,1,1,0,0,0,0,0,0
3332960000,22,17,18,45,0,0,1,1,0,0,0,0,0,0
3342480000,22,18,19,45,0,0,1,1,0,0,0,0,0,0
3346460000,22,19,20,45,0,0,1,1,0,0,0,0,0,0
3346512000,22,20,21,45,0,0,1,1,0,0,0,0,0,0
3382184000,22,21,22,45,0,0,1,1,0,0,0,0,0,0
3385372000,22,22,23,45,0,0,1,1,0,0,0,0,0,0
3393156000,22,23,24,45,0,0,1,1,0,0,0,0,0,0
3398644000,22,24,25,45,0,0,1,1,0,0,0,0,0,0
3398700000,22,25,26,45,0,0,1,1,0,0,0,0,0,0
3434484000,22,26,27,45,0,0,1,1,0,0,0,0,0,0
3437116000,22,27,28,45,0,0,1,1,0,0,0,0,0,0
3446524000,22,28,29,45,0,0,1,1,0,0,0,0,0,0
3450948000,22,29,30,45,0,0,1,1,0,0,0,0,0,0
3451004000,22,30,31,45,0,0,1,1,0,0,0,0,0,0
3486836000,22,31,32,45,0,0,1,1,0,0,0,0,0,0
3490084000,22,32,33,45,0,0,1,1,0,0,0,0,0,0
3509964000,22,33,34,45,0,0,1,1,0,0,0,0,0,0
3513044000,22,34,35,45,0,0,1,1,0,0,0,0,0,0
3513100000,22,35,36,45,0,0,1,1,0,0,0,0,0,0
3532364000,22,36,37,45,0,0,1,1,0,0,0,0,0,0
3534996000,22,37,38,45,0,0,1,1,0,0,0,0,0,0
3544348000,22,38,39,45,0,0,1,1,0,0,0,0,0,0
3549892000,22,39,40,45,0,0,1,1,0,0,0,0,0,0
3549948000,22,40,41,45,0,0,1,1,0,0,0,0,0,0
3550340000,22,41,42,45,0,0,1,1,0,0,0,0,0,0
3554876000,22,42,43,45,0,0,1,1,0,0,0,0,0,0
3554932000,22,43,44,45,0,0,1,1,0,0,0,0,0,0
3554988000,22,43,44,45,0,0,1,1,0,0,0,0,0,0
3628292000,23,-1,0,45,0,0,1,1,0,0,0,0,0,0
