timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
3152284000,-0.094336815,-0.038395364,0.42082596,0.0,0.97686607,-0.0420975,-0.028598543,0.20770784,0.0,0.0,-0.120624855,1,0,0,0,0,0
3152380000,-0.01600942,0.00919727,0.42084938,0.0,0.97789294,-0.008788485,0.0028250897,0.20890231,0.0,0.0,-0.12002046,1,0,0,0,0,0
3152472000,-0.0016892547,0.01004886,0.42084938,0.0,0.9779287,-0.0018754605,0.0047371606,0.20887668,0.0,0.0,-0.15824242,1,0,0,0,0,0
3152584000,-0.0041859862,0.004895588,0.42084938,0.0,0.97793615,-0.0025581012,0.0019566207,0.2088792,0.0,0.0,-0.23670626,1,0,0,0,0,0
3152676000,-0.00173821,0.0045453017,0.42084938,0.0,0.97793895,-0.0013246321,0.0020409846,0.20887655,0.0,0.0,-0.30242413,1,0,0,0,0,0
3152772000,-0.0023428157,0.0058284164,0.42084938,0.0,0.9779368,-0.0017542687,0.0026052445,0.20887756,0.0,0.0,-0.37245733,1,0,0,0,0,0
3152884000,-0.0005140927,0.0045402343,0.42084938,0.0,0.97793967,-0.00072554674,0.002166351,0.20887528,0.0,0.0,-0.45561033,1,0,0,0,0,0
3152976000,-1.9556948e-05,0.003288176,0.42084938,0.0,0.977941,-0.00035297184,0.0016057797,0.208875,0.0,0.0,-0.5269468,1,0,0,0,0,0
3153088000,-0.0005248272,0.0032120957,0.42084938,0.0,0.977941,-0.0005920884,0.0015158094,0.20887536,0.0,0.0,-0.6088793,1,0,0,0,0,0
3153180000,-0.0007963169,0.0028380589,0.42084938,0.0,0.97794116,-0.0006857756,0.0013045629,0.2088756,0.0,0.0,-0.6087069,1,0,0,0,0,0
3153276000,0.0023930373,0.006284153,0.42084938,0.0,0.9779376,0.00051381986,0.0033226837,0.20887038,0.0,0.0,-0.60972995,1,0,0,0,0,0
3153368000,0.0041849664,0.008548068,0.42084938,0.0,0.9779331,0.0011535722,0.0046167998,0.20886415,0.0,0.0,-0.6125555,1,0,0,0,0,0
3153480000,0.009028656,0.011093874,0.42084938,0.0,0.9779225,0.0032560697,0.0063674166,0.20884542,0.0,0.0,-0.61450845,1,0,0,0,0,0
3153572000,0.008995995,0.010850725,0.42084938,0.0,0.9779231,0.0032654952,0.0062451144,0.2088462,0.0,0.0,-0.6120998,1,0,0,0,0,0
3153684000,0.0072521884,0.011141173,0.42084938,0.0,0.97792494,0.0023825038,0.0062050354,0.20885089,0.0,0.0,-0.61584276,1,0,0,0,0,0
3153780000,0.0075086737,0.011918149,0.42084938,0.0,0.97792274,0.002426764,0.0066117267,0.20884818,0.0,0.0,-0.6236443,1,0,0,0,0,0
3153872000,0.0075147157,0.011067937,0.42084938,0.0,0.97792476,0.0025185193,0.0061966414,0.20885025,0.0,0.0,-0.6225171,1,0,0,0,0,0
