timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
3151276000,0.19700001,-0.077000014,0.42900002
3151280000,0.19700001,-0.077000014,0.42900002
3151288000,0.19700001,-0.077000014,0.42900002
3151296000,0.19700001,-0.077000014,0.42900002
3151304000,0.2,-0.07500001,0.42800003
3151308000,0.2,-0.07500001,0.42800003
3151312000,0.2,-0.07500001,0.42800003
3151316000,0.2,-0.07500001,0.42800003
3151320000,0.2,-0.07500001,0.42800003
3151328000,0.2,-0.07500001,0.42800003
3151332000,0.2,-0.07500001,0.42800003
3151336000,0.2,-0.07500001,0.42800003
3151340000,0.2,-0.07500001,0.42800003
3151344000,0.2,-0.07500001,0.42800003
3151348000,0.2,-0.07500001,0.42800003
3151352000,0.2,-0.07500001,0.42800003
3151356000,0.2,-0.07500001,0.42800003
3151360000,0.2,-0.07500001,0.42800003
3151368000,0.2,-0.07500001,0.42800003
3151372000,0.2,-0.07500001,0.42800003
3151380000,0.2,-0.07500001,0.42800003
3151384000,0.2,-0.07500001,0.42800003
3151388000,0.2,-0.07500001,0.42800003
3151392000,0.2,-0.07500001,0.42800003
3151396000,0.2,-0.07500001,0.42800003
3151404000,0.201,-0.07500001,0.42700002
3151408000,0.201,-0.07500001,0.42700002
3151416000,0.201,-0.07500001,0.42700002
3151420000,0.201,-0.07500001,0.42700002
3151428000,0.201,-0.07500001,0.42700002
3151436000,0.201,-0.07500001,0.42700002
3151440000,0.201,-0.07500001,0.42700002
3151444000,0.201,-0.07500001,0.42700002
3151448000,0.201,-0.07500001,0.42700002
3151456000,0.20400001,-0.07900001,0.43
3151460000,0.20400001,-0.07900001,0.43
3151464000,0.20400001,-0.07900001,0.43
3151468000,0.20400001,-0.07900001,0.43
3151476000,0.20400001,-0.07900001,0.43
3151480000,0.20400001,-0.07900001,0.43
3151484000,0.20400001,-0.07900001,0.43
3151492000,0.20400001,-0.07900001,0.43
3151496000,0.20400001,-0.07900001,0.43
3151504000,0.20400001,-0.07900001,0.43
3151508000,0.201,-0.077000014,0.42900002
3151516000,0.201,-0.077000014,0.42900002
3151520000,0.201,-0.077000014,0.42900002
3151524000,0.201,-0.077000014,0.42900002
3151528000,0.201,-0.077000014,0.42900002
3151536000,0.201,-0.077000014,0.42900002
3151540000,0.201,-0.077000014,0.42900002
3151548000,0.201,-0.077000014,0.42900002
3151552000,0.201,-0.077000014,0.42900002
3151556000,0.201,-0.077000014,0.42900002
3151564000,0.201,-0.077000014,0.42900002
3151568000,0.201,-0.077000014,0.42900002
3151576000,0.201,-0.077000014,0.42900002
3151580000,0.201,-0.077000014,0.42900002
3151584000,0.201,-0.077000014,0.42900002
3151592000,0.201,-0.077000014,0.42900002
3151596000,0.201,-0.077000014,0.42900002
3151604000,0.201,-0.077000014,0.42900002
3151608000,0.201,-0.077000014,0.42900002
3151612000,0.20300001,-0.07600001,0.42700002
3151616000,0.20300001,-0.07600001,0.42700002
3151620000,0.20300001,-0.07600001,0.42700002
3151624000,0.20300001,-0.07600001,0.42700002
3151628000,0.20300001,-0.07600001,0.42700002
3151632000,0.20300001,-0.07600001,0.42700002
3151636000,0.20300001,-0.07600001,0.42700002
3151640000,0.20300001,-0.07600001,0.42700002
3151648000,0.20300001,-0.07600001,0.42700002
3151652000,0.20300001,-0.07600001,0.42700002
3151660000,0.20300001,-0.07600001,0.42700002
3151664000,0.201,-0.07500001,0.43
3151668000,0.201,-0.07500001,0.43
3151672000,0.201,-0.07500001,0.43
3151676000,0.201,-0.07500001,0.43
3151684000,0.201,-0.07500001,0.43
3151688000,0.201,-0.07500001,0.43
3151692000,0.201,-0.07500001,0.43
3151696000,0.201,-0.07500001,0.43
3151700000,0.201,-0.07500001,0.43
3151704000,0.201,-0.07500001,0.43
3151712000,0.201,-0.07500001,0.43
3151716000,0.19900002,-0.07800001,0.43100002
3151720000,0.19900002,-0.07800001,0.43100002
3151724000,0.19900002,-0.07800001,0.43100002
3151728000,0.19900002,-0.07800001,0.43100002
3151732000,0.19900002,-0.07800001,0.43100002
3151740000,0.19900002,-0.07800001,0.43100002
3151744000,0.19900002,-0.07800001,0.43100002
3151752000,0.19900002,-0.07800001,0.43100002
3151760000,0.19900002,-0.07800001,0.43100002
3151768000,0.2,-0.07600001,0.42900002
3151776000,0.2,-0.07600001,0.42900002
3151780000,0.2,-0.07600001,0.42900002
3151784000,0.2,-0.07600001,0.42900002
3151788000,0.2,-0.07600001,0.42900002
3151792000,0.2,-0.07600001,0.42900002
3151800000,0.2,-0.07600001,0.42900002
3151808000,0.2,-0.07600001,0.42900002
3151816000,0.2,-0.07600001,0.42900002
3151820000,0.2,-0.07900001,0.42600003
3151824000,0.2,-0.07900001,0.42600003
3151832000,0.2,-0.07900001,0.42600003
3151836000,0.2,-0.07900001,0.42600003
3151840000,0.2,-0.07900001,0.42600003
3151844000,0.2,-0.07900001,0.42600003
3151848000,0.2,-0.07900001,0.42600003
3151856000,0.2,-0.07900001,0.42600003
3151860000,0.2,-0.07900001,0.42600003
3151864000,0.2,-0.07900001,0.42600003
3151868000,0.2,-0.07900001,0.42600003
3151872000,0.19800001,-0.07600001,0.42900002
3151880000,0.19800001,-0.07600001,0.42900002
3151884000,0.19800001,-0.07600001,0.42900002
3151888000,0.19800001,-0.07600001,0.42900002
3151896000,0.19800001,-0.07600001,0.42900002
3151900000,0.19800001,-0.07600001,0.42900002
3151904000,0.19800001,-0.07600001,0.42900002
3151908000,0.19800001,-0.07600001,0.42900002
3151912000,0.19800001,-0.07600001,0.42900002
3151916000,0.19800001,-0.07600001,0.42900002
3151920000,0.19800001,-0.07600001,0.42900002
3151924000,0.20300001,-0.07800001,0.432
3151932000,0.20300001,-0.07800001,0.432
3151936000,0.20300001,-0.07800001,0.432
3151944000,0.20300001,-0.07800001,0.432
3151948000,0.20300001,-0.07800001,0.432
3151956000,0.20300001,-0.07800001,0.432
3151964000,0.20300001,-0.07800001,0.432
3151968000,0.20300001,-0.07800001,0.432
3151972000,0.20300001,-0.07800001,0.432
3151976000,0.202,-0.07800001,0.42600003
3151984000,0.202,-0.07800001,0.42600003
3151992000,0.202,-0.07800001,0.42600003
3151996000,0.202,-0.07800001,0.42600003
3152004000,0.202,-0.07800001,0.42600003
3152008000,0.202,-0.07800001,0.42600003
3152016000,0.202,-0.07800001,0.42600003
3152020000,0.202,-0.07800001,0.42600003
3152028000,0.201,-0.08100001,0.43100002
3152036000,0.201,-0.08100001,0.43100002
3152040000,0.201,-0.08100001,0.43100002
3152048000,0.201,-0.08100001,0.43100002
3152052000,0.201,-0.08100001,0.43100002
3152056000,0.201,-0.08100001,0.43100002
3152060000,0.201,-0.08100001,0.43100002
3152064000,0.201,-0.08100001,0.43100002
3152072000,0.201,-0.08100001,0.43100002
3152076000,0.201,-0.08100001,0.43100002
3152080000,0.2,-0.08000001,0.42900002
3152084000,0.2,-0.08000001,0.42900002
3152088000,0.2,-0.08000001,0.42900002
3152092000,0.2,-0.08000001,0.42900002
3152096000,0.2,-0.08000001,0.42900002
3152100000,0.2,-0.08000001,0.42900002
3152104000,0.2,-0.08000001,0.42900002
3152108000,0.2,-0.08000001,0.42900002
3152112000,0.2,-0.08000001,0.42900002
3152116000,0.2,-0.08000001,0.42900002
3152120000,0.2,-0.08000001,0.42900002
3152124000,0.2,-0.08000001,0.42900002
3152128000,0.2,-0.08000001,0.42900002
3152132000,0.202,-0.07800001,0.43300003
3152140000,0.202,-0.07800001,0.43300003
3152144000,0.202,-0.07800001,0.43300003
3152148000,0.202,-0.07800001,0.43300003
3152156000,0.202,-0.07800001,0.43300003
3152164000,0.202,-0.07800001,0.43300003
3152168000,0.202,-0.07800001,0.43300003
3152172000,0.202,-0.07800001,0.43300003
3152176000,0.202,-0.07800001,0.43300003
3152180000,0.202,-0.07800001,0.43300003
3152184000,0.2,-0.07800001,0.42900002
3152192000,0.2,-0.07800001,0.42900002
3152200000,0.2,-0.07800001,0.42900002
3152204000,0.2,-0.07800001,0.42900002
3152212000,0.2,-0.07800001,0.42900002
3152216000,0.2,-0.07800001,0.42900002
3152220000,0.2,-0.07800001,0.42900002
3152224000,0.2,-0.07800001,0.42900002
3152232000,0.2,-0.07800001,0.42900002
3152236000,0.19600001,-0.07800001,0.42800003
3152240000,0.19600001,-0.07800001,0.42800003
3152248000,0.19600001,-0.07800001,0.42800003
3152256000,0.19600001,-0.07800001,0.42800003
3152264000,0.19600001,-0.07800001,0.42800003
3152272000,0.19600001,-0.07800001,0.42800003
3152276000,0.19600001,-0.07800001,0.42800003
3152280000,0.19600001,-0.07800001,0.42800003
3152288000,0.19900002,-0.077000014,0.43
3152292000,0.19900002,-0.077000014,0.43
3152296000,0.19900002,-0.077000014,0.43
3152300000,0.19900002,-0.077000014,0.43
3152308000,0.19900002,-0.077000014,0.43
3152312000,0.19900002,-0.077000014,0.43
3152316000,0.19900002,-0.077000014,0.43
3152320000,0.19900002,-0.077000014,0.43
3152324000,0.19900002,-0.077000014,0.43
3152332000,0.19900002,-0.077000014,0.43
3152340000,0.20300001,-0.07800001,0.43100002
3152344000,0.20300001,-0.07800001,0.43100002
3152348000,0.20300001,-0.07800001,0.43100002
3152356000,0.20300001,-0.07800001,0.43100002
3152360000,0.20300001,-0.07800001,0.43100002
3152364000,0.20300001,-0.07800001,0.43100002
3152368000,0.20300001,-0.07800001,0.43100002
3152372000,0.20300001,-0.07800001,0.43100002
3152376000,0.20300001,-0.07800001,0.43100002
3152380000,0.20300001,-0.07800001,0.43100002
3152384000,0.20300001,-0.07800001,0.43100002
3152388000,0.20300001,-0.07800001,0.43100002
3152392000,0.19900002,-0.07800001,0.43100002
3152400000,0.19900002,-0.07800001,0.43100002
3152408000,0.19900002,-0.07800001,0.43100002
3152412000,0.19900002,-0.07800001,0.43100002
3152420000,0.19900002,-0.07800001,0.43100002
3152424000,0.19900002,-0.07800001,0.43100002
3152428000,0.19900002,-0.07800001,0.43100002
3152432000,0.19900002,-0.07800001,0.43100002
3152440000,0.19900002,-0.07800001,0.43100002
3152448000,0.202,-0.07900001,0.42700002
3152452000,0.202,-0.07900001,0.42700002
3152456000,0.202,-0.07900001,0.42700002
3152460000,0.202,-0.07900001,0.42700002
3152464000,0.202,-0.07900001,0.42700002
3152468000,0.202,-0.07900001,0.42700002
3152472000,0.202,-0.07900001,0.42700002
3152476000,0.202,-0.07900001,0.42700002
3152480000,0.202,-0.07900001,0.42700002
3152484000,0.202,-0.07900001,0.42700002
3152488000,0.202,-0.07900001,0.42700002
3152496000,0.20400001,-0.07600001,0.43100002
3152500000,0.20400001,-0.07600001,0.43100002
3152504000,0.20400001,-0.07600001,0.43100002
3152508000,0.20400001,-0.07600001,0.43100002
3152512000,0.20400001,-0.07600001,0.43100002
3152516000,0.20400001,-0.07600001,0.43100002
3152520000,0.20400001,-0.07600001,0.43100002
3152524000,0.20400001,-0.07600001,0.43100002
3152532000,0.20400001,-0.07600001,0.43100002
3152536000,0.20400001,-0.07600001,0.43100002
3152540000,0.20400001,-0.07600001,0.43100002
3152544000,0.20400001,-0.07600001,0.43100002
3152548000,0.19900002,-0.08100001,0.43
3152552000,0.19900002,-0.08100001,0.43
3152556000,0.19900002,-0.08100001,0.43
