timestamp,saturation_status
1859220000,1533
1859224000,1533
1859228000,1533
1859232000,1533
1859236000,1533
1859240000,1533
1859244000,1533
1859252000,1533
1859256000,1533
1859260000,1533
1859264000,1533
1859272000,1533
1859276000,1533
1859280000,1533
1859284000,1533
1859292000,1533
1859296000,1533
1859300000,1533
1859304000,1533
1859308000,1533
1859316000,1533
1859320000,1533
1859324000,1533
1859328000,1533
1859332000,1533
1859340000,1533
1859344000,1533
1859352000,1533
1859356000,1533
1859364000,1533
1859372000,1533
1859376000,1533
1859380000,1533
1859388000,1533
1859392000,1533
1859396000,1533
1859400000,1533
1859404000,1533
1859408000,1533
1859412000,1533
1859420000,1533
1859424000,1533
1859428000,1533
1859436000,1533
1859440000,1533
1859444000,1533
1859448000,1533
1859452000,1533
1859460000,1533
1859468000,1533
1859472000,1533
1859476000,1533
1859484000,1533
1859488000,1533
1859496000,1533
1859500000,1533
1859508000,1533
1859512000,1533
1859520000,1533
1859524000,1533
1859528000,1533
1859536000,1533
1859540000,1533
1859548000,1533
1859552000,1533
1859560000,1533
1859564000,1533
1859572000,1533
1859580000,1533
1859584000,1533
1859592000,1533
1859596000,1533
1859600000,1533
1859604000,1533
1859608000,1533
1859612000,1533
1859616000,1533
1859620000,1533
1859624000,1533
1859628000,1533
1859632000,1533
1859636000,1533
1859644000,1533
1859648000,1533
1859652000,1533
1859660000,1533
1859664000,1533
1859668000,1533
1859676000,1533
1859680000,1533
1859688000,1533
1859692000,1533
1859700000,1533
1859704000,1533
1859712000,1533
1859716000,1533
1859720000,1533
1859724000,1533
1859728000,1533
1859732000,1533
1859740000,1533
1859748000,1533
1859752000,1533
1859760000,1533
1859764000,1533
1859768000,1533
1859776000,1533
1859784000,1533
1859788000,1533
1859792000,1533
1859796000,1533
1859800000,1533
1859804000,1533
1859808000,1533
1859812000,1533
1859816000,1533
1859820000,1533
1859824000,1533
1859828000,1533
1859836000,1533
1859840000,1533
1859848000,1533
1859852000,1533
1859860000,1533
1859864000,1533
1859872000,1533
1859876000,1533
1859880000,1533
1859884000,1533
1859888000,1533
1859892000,1533
1859896000,1533
1859904000,1533
1859908000,1533
1859912000,1533
1859916000,1533
1859920000,1533
1859924000,1533
1859928000,1533
1859932000,1533
1859936000,1533
1859940000,1533
1859944000,1533
1859948000,1533
1859952000,1533
1859956000,1533
1859960000,1533
1859964000,1533
1859968000,1533
1859976000,1533
1859980000,1533
1859988000,1533
1859992000,1533
1859996000,1533
1860000000,1533
1860004000,1533
1860008000,1533
1860012000,1533
1860016000,1533
1860024000,1533
1860028000,1533
1860032000,1533
1860036000,1533
1860044000,1533
1860048000,1533
1860052000,1533
1860056000,1533
1860064000,1533
1860068000,1533
1860072000,1533
1860080000,1533
1860084000,1533
1860088000,1533
1860092000,1533
1860096000,1533
1860100000,1533
1860104000,1533
1860112000,1533
1860120000,1533
1860128000,1533
1860132000,1533
1860136000,1533
1860140000,1533
1860144000,1533
1860152000,1533
1860160000,1533
1860164000,1533
1860172000,1533
1860176000,1533
1860180000,1533
1860188000,1533
1860192000,1533
1860196000,1533
1860200000,1533
1860204000,1533
1860208000,1533
1860212000,1533
1860216000,1533
1860220000,1533
1860224000,1533
1860228000,1533
1860232000,1533
1860236000,1533
1860240000,1197
1860244000,1197
1860248000,1197
1860256000,1197
1860264000,1
1860268000,1
1860272000,1
1860280000,1
1860284000,1
1860288000,1
1860292000,1
1860300000,1
1860304000,1
1860312000,1
1860316000,1
1860320000,1
1860324000,1
