timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1859220000,0.97844726,-0.00016850897,0.0045861127,0.20644628,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1859268000,0.9784448,-0.00013662197,0.0046404377,0.2064567,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1859320000,0.978444,-0.00017653138,0.004641319,0.20646049,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1859372000,0.97845846,-0.00020610259,0.004630241,0.20639187,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1859424000,0.97845966,-0.00023885703,0.004703634,0.20638481,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1859480000,0.978463,-0.00025678915,0.0047388086,0.20636792,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1859528000,0.97845274,-0.0003250329,0.0047302796,0.20641638,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1859580000,0.9784645,-0.00031848936,0.004749114,0.20636025,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1859632000,0.9784696,-0.00035484307,0.0047946833,0.20633517,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1859684000,0.9784633,-0.00044355815,0.0047598328,0.2063654,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1859736000,0.97846276,-0.0005167494,0.004730144,0.20636904,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1859788000,0.97845674,-0.0005267127,0.004678112,0.20639856,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1859840000,0.978474,-0.000501963,0.004639539,0.20631742,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1859892000,0.97849053,-0.0005325741,0.00465007,0.20623846,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1859944000,0.97849,-0.00054403965,0.0045742313,0.20624319,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1859996000,0.9785039,-0.0005581828,0.004599219,0.20617634,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1860052000,0.9784984,-0.00053605635,0.0046300874,0.20620212,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1860100000,0.9785006,-0.00056183245,0.004591447,0.20619205,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1860152000,0.97849447,-0.0005464323,0.0045953016,0.20622142,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1860204000,0.97849166,-0.00063679286,0.004491931,0.20623684,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1860256000,0.9784845,-0.0006855925,0.0044737305,0.20627078,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1860312000,0.97848004,-0.00071314204,0.0045042834,0.20629112,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1860360000,0.9784718,-0.00071032735,0.0045154034,0.20633014,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1860412000,0.97848064,-0.0006971501,0.0045538386,0.20628752,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1860464000,0.97848606,-0.0007070937,0.0045021786,0.20626277,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1860516000,0.97848976,-0.00073634286,0.004474526,0.20624536,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1860568000,0.97849524,-0.0007319491,0.00445974,0.20622016,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1860624000,0.9784799,-0.0007731166,0.004467034,0.20629224,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1860676000,0.9784803,-0.00076786586,0.004468348,0.20629048,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1860724000,0.97848535,-0.00083663565,0.00448727,0.20626625,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1860780000,0.97848266,-0.0008231213,0.0044645406,0.20627923,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1860828000,0.978476,-0.0008210758,0.0044699768,0.20631085,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1860880000,0.9784805,-0.00077565206,0.004395656,0.20629096,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1860932000,0.9784896,-0.00081454957,0.004431727,0.20624709,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1860984000,0.978496,-0.0008114625,0.0044593303,0.20621584,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1861036000,0.97849286,-0.000642217,0.003934891,0.20624253,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
1861088000,0.9784871,-0.00013671242,0.0005491731,0.20630732,0.9999812,1.1641532e-10,-6.9849193e-10,0.0061260164,6
